ID,Practice Name,City,District,Address,Latitude,Longitude,Phone,Website,Verification Status,Last Verified,English Signals,Emergency Services,Google Maps
Berlin-81,Valera Veterinary Clinic,Berlin,Zehlendorf,"Potsdamer Straße 23/24, 14163 Berlin",52.4332462,13.2592737,030 201805750,https://www.valeratierklinikberlin.com/,Verified,2025-12-26,Verified English Support,24/7,
Berlin-13,Dr. Peter Vogel,Berlin,Friedrichshain,"Finowstraße 14, 10247 Berlin",52.5234071,13.4503374,,http://www.drpetervogel.de,Verified,2025-12-26,Verified English Support; Address updated from Ebelingstraße,,
Berlin-14,Tierarztpraxis Sarah Watson,Berlin,Neukölln,"Altenbraker Str. 29, 12051 Berlin (Neukölln)",52.468653,13.4330363,,https://www.tierarzt-watson.de/,Verified,2025-12-24,Verified English Support,,https://www.google.com/maps/place/Tierarztpraxis/data=!4m7!3m6!1s0x47a8503835ce73f9:0x45ad73e1b6d175a1!8m2!3d52.4921195!4d13.3651271!16s%2Fg%2F11mgn05v41!19sChIJ-XPONThQqEcRoXXRtuFzrUU?authuser=0&hl=en&rclk=1
Berlin-15,Kleintierpraxis 4 Pfoten & Co,Berlin,Lichtenberg,"Fanningerstraße 27, 10365 Berlin (Lichtenberg)",52.5143907,13.4951561,,http://www.4pfoten-berlin.de/,Verified,2025-12-24,Verified English Support,,
Berlin-16,Tierarztpraxis Dr. Renate Lorenz,Berlin,Lichterfelde,"Oberhofer Weg 68, 12209 Berlin (Lichterfelde)",52.4183156,13.3320078,,http://tier-arzt.berlin/,Verified,2025-12-24,Verified English Support,,https://www.google.com/maps/place/Tierarztpraxis/data=!4m7!3m6!1s0x47a8503835ce73f9:0x45ad73e1b6d175a1!8m2!3d52.4921195!4d13.3651271!16s%2Fg%2F11mgn05v41!19sChIJ-XPONThQqEcRoXXRtuFzrUU?authuser=0&hl=en&rclk=1
Berlin-17,Tierarztpraxis Bartels & Wende (formerly Heinemann),Berlin,Wilmersdorf,"Mansfelder Straße 19, 10713 Berlin (Wilmersdorf)",52.4888413,13.3110131,,https://www.berliner-tierarztpraxis.de/,Verified,2025-12-24,Verified by Community,,
Berlin-18,Tierarztpraxis am Mauerpark,Berlin,Prenzlauer Berg,"Wolliner Str. 21, 10435 Berlin (Prenzlauer Berg)",52.5395953,13.401733,,https://www.tierarztpraxis-am-mauerpark.de/,Verified,2025-12-25,Verified by Community,,https://www.google.com/maps/place/Tierarztpraxis+am+Mauerpark/data=!4m7!3m6!1s0x47a852030f2840a1:0xe998cf9fcb19f10b!8m2!3d52.5471166!4d13.4082182!16s%2Fg%2F1tf9rvwn!19sChIJoUAoDwNSqEcRC_EZy5_PmOk?authuser=0&hl=en&rclk=1
Berlin-19,Tierarztpraxis Dr. Stahlhut (Tierarzt Westend),Berlin,Westend,"Reichsstraße 2, 14052 Berlin (Westend)",52.5107099,13.2709188,,https://www.tierarzt-westend.de/,Verified,2025-12-24,Verified English Support,,
Berlin-20,"Tierarztpraxis Pastor (""Tierärzte im Kiez"")",Berlin,Friedrichshagen,"Bölschestraße 8, 12587 Berlin (Friedrichshagen)",52.4478304,13.62464,,https://www.tieraerzte-im-kiez.de/,Verified,2025-12-24,Verified English Support,,
Berlin-22,Tierarztpraxis Dr. Till Robl,Berlin,Prenzlauer Berg,"Husemannstraße 3, 10435 Berlin (Prenzlauer Berg)",52.5371564,13.41717,,http://www.tierarztpraxis-robl.de/,Verified,2025-12-24,Verified English Support,,https://www.google.com/maps/place/Tierarztpraxis/data=!4m7!3m6!1s0x47a8503835ce73f9:0x45ad73e1b6d175a1!8m2!3d52.4921195!4d13.3651271!16s%2Fg%2F11mgn05v41!19sChIJ-XPONThQqEcRoXXRtuFzrUU?authuser=0&hl=en&rclk=1
Berlin-23,Tierarztpraxis Grünau (Dr. Manuela Wight),Berlin,Treptow-Köpenick,"Regattastraße 58, 12527 Berlin (Treptow-Köpenick)",52.4156983,13.5819704,,https://www.tierarztpraxisgruenau.de/,Verified,2025-12-24,Verified English Support,,
Berlin-24,Tiermedizinzentrum Berlin (Schöneberg),Berlin,Schöneberg,"Kufsteiner Str. 22, 10825 Berlin",52.4855545,13.3366726,,https://www.tiermedizinzentrum.de/,Verified,2025-12-24,Verified English Support; Jameda Verified,,https://www.google.com/maps/place/Tiermedizinzentrum+Berlin/data=!4m7!3m6!1s0x47a8506759401557:0x649b4111c0e61131!8m2!3d52.4853661!4d13.3367677!16s%2Fg%2F1thvrqll!19sChIJVxVAWWdQqEcRMRHmwBFBm2Q?authuser=0&hl=en&rclk=1
Berlin-25,Dr. med. vet. Katharina Dralle (Friedenau),Berlin,Friedenau,"Rotdornstr. 7, 12161 Berlin",52.4708837,13.3254512,,https://www.tierarzt-dralle-berlin.de/,Verified,2025-12-24,Verified English Support; Jameda Verified,,
Berlin-26,Tierarztpraxis am Schlosspark (Jana Czernutzky),Berlin,Pankow,"Dietzgenstraße 28, 13156 Berlin (Pankow)",52.5825569,13.4043662,,https://www.tierarzt-schlosspark.de/,Verified,2025-12-24,Verified English Support; Jameda Verified,,https://www.google.com/maps/place/Tierarztpraxis+am+Schlosspark/data=!4m7!3m6!1s0x47a8525d6ec6514f:0x70433b0501e19906!8m2!3d52.58247!4d13.40397!16s%2Fg%2F11clvbh33v!19sChIJT1HGbl1SqEcRBpnhAQU7Q3A?authuser=0&hl=en&rclk=1
Berlin-27,Dr. Claudia Wegeler (Tempelhof),Berlin,Tempelhof,"Rangsdorfer Str. 9, 12307 Berlin",52.3889464,13.3905872,,http://www.tierarztpraxis-dr-wegeler.de,Verified,2025-12-26,Verified English Support; Jameda Verified,,
Berlin-28,Tierarztpraxis Dr. med. vet. Stephanie Adams (Bernau),Berlin,Bernau,"Wandlitzer Chaussee 1, 16321 Bernau",52.6823492,13.5858973,,https://www.tierverhaltenstherapie-adams.de,Verified,2025-12-26,Verified English Support; Jameda Verified,,
Berlin-29,Bernhard Alexander (Schöneberg),Berlin,Schöneberg,"Hauptstr. 92, 10827 Berlin",52.4763237,13.3418436,,,Permanently Closed,2025-12-26,Verified English Support,,
Berlin-31,Tierarztpraxis am Olivaer Platz (Dr. med. vet. S. Robl),Berlin,Wilmersdorf,"Olivaer Platz 11, 10707 Berlin",52.499682,13.3162955,,,Permanently Closed,2025-12-24,Verified English Support,,
Berlin-32,AniCura Tierklinik Berlin-Biesdorf,Berlin,Biesdorf,"Alt-Biesdorf 22, 12683 Berlin (Biesdorf)",52.5087397,13.5557345,,https://www.anicura.de/standorte/tierklinik-berlin-biesdorf/,Verified,2025-12-24,Verified English Support,24/7,
Berlin-33,Tierarztpraxis Sonnenallee - Dr. Jana Kudritzki und Daniel Kitzing,Berlin,Neukölln,"Sonnenallee 204, 12059 Berlin",52.4746,13.4542,030 6814455,https://www.tierarztpraxis-sonnenallee.de/,Verified,2025-12-26,Verified English Support; Community Verified,,
Berlin-34,Tierarztpraxis am Lietzenseepark (Dr. Layla Hourani),Berlin,Charlottenburg,"Riehlstraße 3, 14057 Berlin",52.505618,13.285243,,http://tierarztpraxis-am-lietzenseepark.de,Verified,2025-12-26,Verified by Community,,
Berlin-36,Tierarztpraxis am Wasserturm,Berlin,Prenzlauer Berg,"Rykestraße 4, 10405 Berlin",52.5350841,13.4196661,,http://tierarztpraxis-wasserturm.de,Verified,2025-12-26,Verified English Support,,https://www.google.com/maps/place/Tierarztpraxis/data=!4m7!3m6!1s0x47a8503835ce73f9:0x45ad73e1b6d175a1!8m2!3d52.4921195!4d13.3651271!16s%2Fg%2F11mgn05v41!19sChIJ-XPONThQqEcRoXXRtuFzrUU?authuser=0&hl=en&rclk=1
Berlin-37,Tierarztpraxis Gotthardt,Berlin,Grunewald,"Winkler Str. 21, 14193 Berlin",52.489252,13.2714154,,http://tierarzt-berlin-gotthardt.de,Verified,2025-12-26,Verified by Community; Address updated from Winkler Straße 2,,https://www.google.com/maps/place/Tierarztpraxis/data=!4m7!3m6!1s0x47a8503835ce73f9:0x45ad73e1b6d175a1!8m2!3d52.4921195!4d13.3651271!16s%2Fg%2F11mgn05v41!19sChIJ-XPONThQqEcRoXXRtuFzrUU?authuser=0&hl=en&rclk=1
Berlin-38,Marita Toepfer Veterinary Services,Berlin,Zehlendorf,"Beerenstraße 28, 14163 Berlin",52.4364378,13.2415326,,,Permanently Closed,2025-12-26,Verified by Community,,
Berlin-39,Tierarztpraxis Dr. C. S. Alexander,Berlin,Steglitz,"Steglitzer Damm 48, 12169 Berlin",52.4501772,13.3437303,,http://tierphysiotherapie-alexander.de,Verified,2025-12-26,Verified by Community; Now specializes in animal physiotherapy,,
Berlin-40,Tierarztpraxis Ellen Laskawy,Berlin,Friedrichshain,"Bänschstraße 58, 10247 Berlin",52.5175127,13.4680346,,http://www.laskawy-berlin.de,Verified,2025-12-26,Verified English Support; Address updated from Bänschstraße 70,,https://www.google.com/maps/place/Tierarztpraxis/data=!4m7!3m6!1s0x47a8503835ce73f9:0x45ad73e1b6d175a1!8m2!3d52.4921195!4d13.3651271!16s%2Fg%2F11mgn05v41!19sChIJ-XPONThQqEcRoXXRtuFzrUU?authuser=0&hl=en&rclk=1
Berlin-41,Tierarztpraxis am Urbanhafen,Berlin,Kreuzberg,"Baerwaldstraße 69, 10961 Berlin",52.4919415,13.4029716,,http://www.tierarztpraxis-am-urbanhafen.de,Verified,2025-12-26,Confirmed English-speaking via Google Reviews comments; Address updated from Blücherstraße,,https://www.google.com/maps/place/Tierarztpraxis+am+Urbanhafen/data=!4m7!3m6!1s0x47a84fd3b653770d:0xd3240f83e30b3ce3!8m2!3d52.4956405!4d13.4053191!16s%2Fg%2F1w04j3nk!19sChIJDXdTttNPqEcR4zwL44MPJNM?authuser=0&hl=en&rclk=1
Berlin-42,Praxis Tierzuliebe (Dr. Bertram),Berlin,Charlottenburg,"Edisonstraße 12, 12459 Berlin",52.5043327,13.2957476,,http://www.praxis-tierzuliebe.de,Verified,2025-12-26,Verified by Community; Address updated from Friedbergstraße,,
Berlin-43,Mobile Tierarztpraxis Berlin - Dr. Pascal Klunder,Berlin,Schöneberg,"Gutzkowstraße 4, 10827 Berlin (Mobile Service)",52.4834,13.3524,0162 7462404,https://tierarzt-mobil-berlin.de/,Verified,2025-12-26,Verified English Support,,
Berlin-44,Tierarztpraxis Dr. Wolfgang Beck,Berlin,Neukölln,"Weichselstraße 25, 12045 Berlin (Neukölln)",52.4870325,13.4368022,030 6239664,http://www.tierarztpraxis-dr-beck.de/index.htm,Verified,2025-12-26,"Verified English Support; Community Verified; Confirmed via Google Review: ""English speaking and always have the best solutions""",,https://www.google.com/maps/place/Tierarztpraxis/data=!4m7!3m6!1s0x47a8503835ce73f9:0x45ad73e1b6d175a1!8m2!3d52.4921195!4d13.3651271!16s%2Fg%2F11mgn05v41!19sChIJ-XPONThQqEcRoXXRtuFzrUU?authuser=0&hl=en&rclk=1
Berlin-45,Medivet Berlin-Pankow,Berlin,Pankow,"Pasewalker Straße 25, 13127 Berlin",52.5883891,13.429743,,https://www.medivetgroup.com/de/tierarztpraxis-suche/berlin/medivet-berlin-pankow/,Verified,2025-12-24,Verified English Support,,https://www.google.com/maps/place/Medivet+Berlin-Pankow/data=!4m7!3m6!1s0x47a852869aaf3f49:0xad7dbeaab4648b23!8m2!3d52.5884304!4d13.429723!16s%2Fg%2F1vv2r8dy!19sChIJST-vmoZSqEcRI4tktKq-fa0?authuser=0&hl=en&rclk=1
Berlin-95,Pfotendoctor - dein digitaler Tierarzt,Berlin,Mitte,"Wöhlertstraße 12-13, 10115 Berlin",52.5372757,13.3786958,0800 7777444,https://www.pfotendoctor.de/,Verified,2025-12-25,Digital-only service with multiple reviews mentioning English-speaking doctors.; Verified English Support,,https://www.google.com/maps/place/Pfotendoctor+-+dein+digitaler+Tierarzt+%28kein+Praxisstandort+vor+Ort%29/data=!4m7!3m6!1s0x47a85717ff9f0ff7:0xc0698955e9a37b14!8m2!3d52.5372757!4d13.3786958!16s%2Fg%2F11ftc7s0fj!19sChIJ9w-f_xdXqEcRFHuj6VWJacA?authuser=0&hl=en&rclk=1
Berlin-96,Veterinary practice Galina Schirow GmbH (Hansavet),Berlin,Hansaviertel,"Bartningallee 5, 10557 Berlin",52.5190267,13.3427188,030 39886966,http://www.vetpraxis-schirow.de/,Verified,2025-12-25,"Multilingual team (English, German, Russian); Review: 'A highly competent and caring team of veterinarians - perfect for internationals!'",,https://www.google.com/maps/place/Veterinary+practice+Galina+Schirow+GmbH/data=!4m7!3m6!1s0x47a851081855956d:0x502d097849852630!8m2!3d52.5190267!4d13.3427188!16s%2Fg%2F1q4knllr2!19sChIJbZVVGAhRqEcRMCaFSXgJLVA?authuser=0&hl=en&rclk=1
Berlin-97,Tierarztpraxis Brigitte Ludwig-Kahya,Berlin,Kreuzberg,"Wilhelmstraße 3, 10963 Berlin",52.500908,13.391216,030 2513480,http://www.tierarztpraxis-in-kreuzberg.de/,Verified,2025-12-25,Review: 'EVERYONE SPEAKS ENGLISH. The place is amazingly clean and spacious.'; Fluent English staff members confirmed by multiple international pet owners.,,https://www.google.com/maps/place/Tierarztpraxis+Brigitte+Ludwig-Kahya/data=!4m7!3m6!1s0x47a8502b6084b857:0x2bae721d26f5f822!8m2!3d52.5003224!4d13.389816!16s%2Fg%2F1thwzgd_!19sChIJV7iEYCtQqEcRIvj1Jh1yris?authuser=0&hl=en&rclk=1
Frankfurt-46,Filu Vet Nordend,Frankfurt,Nordend,"Weberstraße 59, 60318 Frankfurt am Main",50.1265373,8.6865236,,https://www.filu.vet,Verified,2025-12-24,Verified English Support,,
Frankfurt-47,Rex Tierarzt Frankfurt Ostend,Frankfurt,Ostend,"Wittelsbacherallee 26, 60316 Frankfurt am Main",50.119189,8.7031839,,https://www.rex.app/clinics/frankfurt-ostend,Verified,2025-12-24,Verified English Support,,https://www.google.com/maps/place/Rex+Tierarztpraxis+Frankfurt-Ostend/data=!4m7!3m6!1s0x47bd0fec262dfc03:0x6d7a7874999d0916!8m2!3d50.1191912!4d8.7031829!16s%2Fg%2F11xrkwcz61!19sChIJA_wtJuwPvUcRFgmdmXR4em0?authuser=0&hl=en&rclk=1
Frankfurt-48,Tierarztpraxis Sonja Krämer,Frankfurt,Sossenheim,"Westerbachstraße 226, 65936 Frankfurt am Main (Sossenheim)",50.1237711,8.5766749,,https://www.tierarzt-kraemer.de/en/,Verified,2025-12-24,Verified English Support,,https://www.google.com/maps/place/Tierarztpraxis+Sonja+Kr%C3%A4mer/data=!4m7!3m6!1s0x47bd09facf58c0ef:0xe353ca2c235d346f!8m2!3d50.1238303!4d8.5768004!16s%2Fg%2F1v7tkh2r!19sChIJ78BYz_oJvUcRbzRdIyzKU-M?authuser=0&hl=en&rclk=1
Frankfurt-49,Tierarztpraxis Dr. Maike Höch,Frankfurt,Eckenheim,"Eckenheimer Landstraße 340, 60435 Frankfurt (Eckenheim)",50.1488729,8.6813374,,https://www.dr-hoech.de/en/,Verified,2025-12-24,Verified English Support,,
Frankfurt-50,Tierklinik Hofheim (Specialist Center),Hofheim,Specialist Center,"Im Ried 12, 65719 Hofheim am Taunus",50.0896786,8.4623423,,https://www.tierklinik-hofheim.de,Verified,2025-12-24,Verified English Support,24/7,
Frankfurt-51,AniCura Kleintierzentrum (Juliusstraße),Frankfurt,Bockenheim,"Juliusstraße 12, 60487 Frankfurt",50.1234958,8.6448043,,https://www.anicura.de/standorte/frankfurt/,Verified,2025-12-26,Community Verified,,
Frankfurt-52,Dr. Andrea Töpfer,Frankfurt,Ginnheim,"Füllerstraße 100, 60431 Frankfurt",50.1434282,8.6488114,,http://www.tierarztpraxis-toepfer.de,Verified,2025-12-26,Verified by Community,,
Frankfurt-53,Dr. Cavalcanti (VetPetCare),Bad Homburg,Frankfurt) & Bad Homburg,"Kirdorfer Str. 14, 61350 Bad Homburg vor der Höhe",50.1766221,8.6320784,,https://kleintierpraxis-vetpetcare.de,Verified,2025-12-24,Verified English Support,,
Frankfurt-54,Tierarztpraxis Maja Firlé,Frankfurt,Gallus/City West,"Hamburger Allee 14, 60486 Frankfurt am Main",50.1277397,8.6862685,,https://www.tierarztpraxis-frankfurt.de/,Verified,2025-12-24,Verified English Support,,https://www.google.com/maps/place/Tierarztpraxis+Maja+Firl%C3%A9/data=!4m7!3m6!1s0x47bd095d1c6b57b5:0x161891416ad46e11!8m2!3d50.1149422!4d8.649158!16s%2Fg%2F1tdq9pww!19sChIJtVdrHF0JvUcREW7UakGRGBY?authuser=0&hl=en&rclk=1
Frankfurt-55,Tierarztpraxis Sachsenhausen (Dr. Jan Kullen / Dr. Elena Panova),Frankfurt,Dr. Jan Kullen / Dr. Elena Panova,"Textorstraße 93, 60596 Frankfurt am Main",50.0995779,8.6813158,,https://www.tierarzt-sachsenhausen.de/,Verified,2025-12-24,Verified English Support,,
Frankfurt-56,Kleintierklinik Frankfurt Bockenheim,Frankfurt,Bockenheim,"Ginnheimer Landstraße 11, 60487 Frankfurt am Main",50.1288579,8.6423265,,https://www.tierklinik-frankfurt.de/,Verified,2025-12-24,Verified English Support,,
Frankfurt-57,Tierarztpraxis am Kurfürstenplatz (Bockenheim),Frankfurt,Bockenheim,"Kurfürstenstraße 3, 60486 Frankfurt am Main",50.1224332,8.6451228,,https://www.tierarzt-bockenheim.de/,Verified,2025-12-24,Verified English Support,,
Frankfurt-58,Tierarztpraxis Bornheim (Dr. Katrin Witt),Frankfurt,Dr. Katrin Witt,"Heisterstraße 1, 60385 Frankfurt am Main",50.1036973,8.696417,,https://www.tierarztpraxis-bornheim.de/,Verified,2025-12-24,Verified by Community,,
Frankfurt-59,Tierarztpraxis Dr. Joachim & Katja Gross,Frankfurt,Sachsenhausen,"Mörfelder Landstraße 263, 60598 Frankfurt (Sachsenhausen)",50.0935559,8.6782109,,https://www.tierarzt-frankfurt-sachsenhausen.de/,Verified,2025-12-24,Verified English Support,,
Frankfurt-60,Tierklinik Kalbach (Kleintierklinik am Nordpark),Frankfurt,"Am Nordpark 10), 60437 Frankfurt am Main","Max-Holder-Straße 4 (Am Nordpark 10), 60437 Frankfurt am Main",50.18973,8.6509635,,https://tierklinik-kalbach.de/,Verified,2025-12-24,Verified English Support,24/7,
Frankfurt-61,Tierarztpraxis Berger (Melanie Berger),Frankfurt,Sachsenhausen,"Darmstädter Landstraße 48, 60594 Frankfurt (Sachsenhausen)",50.1019831,8.6906204,,https://tierarztpraxis-berger.com/,Verified,2025-12-24,Verified English Support; Community Verified,,https://www.google.com/maps/place/Tierarztpraxis+Melanie+Berger/data=!4m7!3m6!1s0x47bd11dd8fa0d3b3:0xd336e23081647328!8m2!3d50.1020249!4d8.6906263!16s%2Fg%2F11d_ww1srk!19sChIJs9Ogj90RvUcRKHNkgTDiNtM?authuser=0&hl=en&rclk=1
Frankfurt-62,Tierklinik Trillig (Obertshausen),Frankfurt,Obertshausen,"Birkenwaldstr. 42, 63179 Obertshausen",50.07601040000001,8.875295,,https://www.tierklinik-trillig.de,Verified,2025-12-24,Verified English Support,,
Frankfurt-63,Kleintierpraxis Frankfurt (Dr. Moudrianakis),Frankfurt,Frankfurt,"Leerbachstraße 122, 60322 Frankfurt",50.1243152,8.6719379,,http://www.kleintierpraxis-frankfurt.de,Verified,2025-12-26,Verified by Community,,https://www.google.com/maps/place/Kleintierpraxis+Frankfurt/data=!4m7!3m6!1s0x47bd0eb4cd1defcf:0xd44b022c64076b8a!8m2!3d50.1243387!4d8.671881!16s%2Fg%2F1tgw90g5!19sChIJz-8dzbQOvUcRimsHZCwCS9Q?authuser=0&hl=en&rclk=1
Frankfurt-64,Dr. med. vet. Sandra Härtter,Frankfurt,Bergen-Enkheim,"Leuchte 47, 60388 Frankfurt",50.1433522,8.7626709,,http://www.tierarzt-bergen-enkheim.de,Verified,2025-12-26,Verified English Support,,
Frankfurt-65,Tierarztpraxis Dr. med. vet. Moormann,Königstein,Königstein,"Frankfurter Str. 11, 61462 Königstein im Taunus",50.1815992,8.471150399999999,,https://www.tierarzt-moormann.de/,Verified,2025-12-24,Verified English Support; Community Verified,,
Frankfurt-66,Praxis Dr. med. vet. Anette Fach (Oberursel),Oberursel,Taunus,"Dornbachstr. 33 a, 61440 Oberursel (Taunus)",50.2144864,8.5668588,,https://www.kleintierpraxis-oberursel.de/,Verified,2025-12-24,Verified English Support; Jameda Verified,,
Frankfurt-67,Kleintierpraxis am Zauberberg (Dr. Katja Feuerbacher),Kelkheim,Taunus,"Robert-Koch-Str. 116, 65779 Kelkheim (Taunus)",50.1773429,8.404821,,https://www.kleintierpraxis-kelkheim.de/,Verified,2025-12-24,Verified English Support; Jameda Verified,,
Frankfurt-68,Felmo Mobiler Tierarzt (Frankfurt),Frankfurt,Frankfurt,"Königsberger Str. 2, 60487 Frankfurt am Main (Mobile Service)",50.1290747,8.628140799999999,,https://felmo.de/tierarzt/frankfurt,Verified,2025-12-24,Verified English Support,,https://www.google.com/maps/place/felmo+Mobiler+Tierarzt+Frankfurt/data=!4m7!3m6!1s0x47bd0f1033e794c9:0xa6c205570edc16e6!8m2!3d50.129075!4d8.628141!16s%2Fg%2F11r3v_j65g!19sChIJyZTnMxAPvUcR5hbcDlcFwqY?authuser=0&hl=en&rclk=1
Hamburg-69,filu Tierarztpraxis Winterhude,Hamburg,Winterhude,"Mühlenkamp 21A, 22303 Hamburg",53.5808087,10.0112803,,https://filu.vet/hamburg/winterhude,Verified,2025-12-24,Verified English Support,,
Hamburg-70,Rex Tierarztpraxis (Winterhude & Ottensen),Hamburg,Winterhude & Ottensen,"Winterhuder Marktplatz 1, 22299 Hamburg / Ottensen",53.5942753,9.9987207,,https://www.rex.app/en,Verified,2025-12-24,Verified English Support,,
Hamburg-71,VetZentrum Hafencity,Hamburg,Hafencity,"Baakenallee 90, 20457 Hamburg",53.5364937,10.0169081,,https://www.vetzentrum-hafencity.de/,Verified,2025-12-24,Verified English Support,,
Hamburg-72,Tierarztpraxis am Millerntor,Hamburg,St. Pauli,"Budapester Straße 31, 20359 Hamburg",53.5537665,9.9648394,,https://www.tierarztpraxis-am-millerntor.de/,Verified,2025-12-26,Verified English Support; Community Verified,,https://www.google.com/maps/place/Tierarztpraxis+am+Millerntor+Voelkel/data=!4m7!3m6!1s0x47b18f6c3e43e9eb:0x2c0757b67b64e246!8m2!3d53.5537481!4d9.96479!16s%2Fg%2F11dxbmp1v0!19sChIJ6-lDPmyPsUcRRuJke7ZXByw?authuser=0&hl=en&rclk=1
Hamburg-73,Tierarztpraxis ElbVet Hamburg,Hamburg,Bahrenfeld/Altona,"Friedensallee 290, 22763 Hamburg (Bahrenfeld/Altona)",53.5598548,9.9106261,,https://www.elbvet-hamburg.de/,Verified,2025-12-25,"Verified English Support; Confirmed via Google Review: ""was friendly, experienced, and could communicate well in English.""",,https://www.google.com/maps/place/Tierarztpraxis+ElbVet+Hamburg/data=!4m7!3m6!1s0x47b1856fe7d43e95:0x6934c6336fc69d77!8m2!3d53.56439!4d9.91812!16s%2Fg%2F11h0zbm_6t!19sChIJlT7U52-FsUcRd53GbzPGNGk?authuser=0&hl=en&rclk=1
Hamburg-74,AniCura Kleintierzentrum (Niendorf),Hamburg,Niendorf,"Garstedter Weg 274, 22455 Hamburg",53.6386928,9.9699638,,https://www.anicura.de/hamburg-niendorf,Verified,2025-12-24,Verified English Support; Jameda Verified,24/7,
Hamburg-75,Medivet Tierarztpraxis Hamburg-Stellingen,Hamburg,Stellingen,"Kieler Straße 336, 22525 Hamburg",53.5872479,9.9327793,,https://www.medivetgroup.com/de/tierarztpraxis-suche/hamburg/medivet-hamburg-stellingen/,Verified,2025-12-25,Verified English Support,,https://www.google.com/maps/place/Medivet+Tierarztpraxis+Hamburg-Stellingen/data=!4m7!3m6!1s0x47b185faf8a8ee2d:0xecf43e4f270a4c6f!8m2!3d53.5871493!4d9.9325501!16s%2Fg%2F1tx462gw!19sChIJLe6o-PqFsUcRb0wKJ08-9Ow?authuser=0&hl=en&rclk=1
