name,address,city_hint,phone,website,rating,reviews,google_maps,source_file
Kleintierklinik der Universität Leipzig,An den Tierkliniken 23,Leipzig,0341 9738711,https://kleintierklinik.uni-leipzig.de/,,"-1,410",https://www.google.com/maps/place/Kleintierklinik+der+Universit%C3%A4t+Leipzig/data=!4m7!3m6!1s0x47a6f9b45bc65b35:0x4adca6915878afbc!8m2!3d51.3187859!4d12.3927842!16s%2Fg%2F11g6j8f26n!19sChIJNVvGW7T5pkcRvK94WJGm3Eo?authuser=0&hl=en&rclk=1,Leipzig.csv
Kleintierpraxis Dr. Fatima Sterl,Viaduktweg 4,Leipzig,0341 5201717,http://www.tier-dr-sterl.de/,,-165,https://www.google.com/maps/place/Kleintierpraxis+Dr.+Fatima+Sterl/data=!4m7!3m6!1s0x47a6583dae2e1acb:0xdca8690087015628!8m2!3d51.3902936!4d12.3711926!16s%2Fg%2F1tp_5dlf!19sChIJyxourj1YpkcRKFYBhwBpqNw?authuser=0&hl=en&rclk=1,Leipzig.csv
Kleintierpraxis Leipzig Schönefeld,Waldbaurstraße 2b,Leipzig,0341 2300800,http://www.tierpraxis-leipzig.de/,,-42,https://www.google.com/maps/place/Kleintierpraxis+Leipzig+Sch%C3%B6nefeld/data=!4m7!3m6!1s0x47a6f86de753c5eb:0xebd5c91829aba56d!8m2!3d51.3508362!4d12.4089922!16s%2Fg%2F11ggbtd4qt!19sChIJ68VT5234pkcRbaWrKRjJ1es?authuser=0&hl=en&rclk=1,Leipzig.csv
Kleintierpraxis Weinlein,Bornaische Str. 186,Leipzig,0341 27118983,http://kleintierpraxis-sascha-weinlein.de/,,-145,https://www.google.com/maps/place/Kleintierpraxis+Weinlein/data=!4m7!3m6!1s0x47a6fa1af1294c29:0x70b2640eb4340d70!8m2!3d51.2872083!4d12.3924262!16s%2Fg%2F11hzxl6dmx!19sChIJKUwp8Rr6pkcRcA00tA5ksnA?authuser=0&hl=en&rclk=1,Leipzig.csv
Klinik für Vögel und Reptilien - Universität Leipzig,An den Tierkliniken 17,Leipzig,0341 9738405,https://www.vetmed.uni-leipzig.de/klinik-fuer-voegel-und-reptilien,,-35,https://www.google.com/maps/place/Klinik+f%C3%BCr+V%C3%B6gel+und+Reptilien+-+Universit%C3%A4t+Leipzig/data=!4m7!3m6!1s0x47a6f9b4fecbe7b5:0x177c64b7fcc3c11b!8m2!3d51.3195184!4d12.3921402!16s%2Fg%2F11gg9br8hy!19sChIJtefL_rT5pkcRG8HD_LdkfBc?authuser=0&hl=en&rclk=1,Leipzig.csv
Manfred Seeliger veterinarian,Kantstraße 47,Leipzig,0341 3027400,https://www.tierarztpraxis-suedvorstadt.de/,,-136,https://www.google.com/maps/place/Manfred+Seeliger+veterinarian/data=!4m7!3m6!1s0x47a6f9cede42c647:0xde06045bd33aaab8!8m2!3d51.3160911!4d12.3774582!16s%2Fg%2F1vzg183l!19sChIJR8ZC3s75pkcRuKo601sEBt4?authuser=0&hl=en&rclk=1,Leipzig.csv
Mitteldeutsches Kompetenzzentrum f. Kleintiere / Fachtierarzt / Tages-Tierklinik,Kelbestraße 1,Leipzig,0341 69762150,https://mkk-leipzig.de/,,-36,https://www.google.com/maps/place/Mitteldeutsches+Kompetenzzentrum+f.+Kleintiere+%2F+Fachtierarzt+%2F+Tages-Tierklinik/data=!4m7!3m6!1s0x47a6f9819a47120b:0x1e751503031f3485!8m2!3d51.3262103!4d12.4523443!16s%2Fg%2F11vr96zsq3!19sChIJCxJHmoH5pkcRhTQfAwMVdR4?authuser=0&hl=en&rclk=1,Leipzig.csv
Mobiler Tierarztnotdienst Leipzig,"Kleintierpraxis Weinlein, Bornaische Str. 186",Leipzig,0176 45777675,https://www.kleintierpraxis-sascha-weinlein.de/relaunch-notdienst,,-39,https://www.google.com/maps/place/Mobiler+Tierarztnotdienst+Leipzig/data=!4m7!3m6!1s0x47a6fba2cf06f677:0x92bed52bd31b0ff3!8m2!3d51.2872083!4d12.3924262!16s%2Fg%2F11ht5h83tk!19sChIJd_YGz6L7pkcR8w8b0yvVvpI?authuser=0&hl=en&rclk=1,Leipzig.csv
"Tagesklinik für Kleintiere - Dr. Volker Jähnig und Tierarzt Patrick Jähnig, GbR",Kieler Str. 25,Leipzig,0341 60050600,http://www.tierpraxis-leipzig.de/,,-224,"https://www.google.com/maps/place/Tagesklinik+f%C3%BCr+Kleintiere+-+Dr.+Volker+J%C3%A4hnig+und+Tierarzt+Patrick+J%C3%A4hnig,+GbR/data=!4m7!3m6!1s0x47a657c3f732b389:0x7fc23759deca28ca!8m2!3d51.3766482!4d12.4207056!16s%2Fg%2F1vfp2ncx!19sChIJibMy98NXpkcRyijK3lk3wn8?authuser=0&hl=en&rclk=1",Leipzig.csv
Tierarzt Claudia Ernst,Helenenstraße 26A,Leipzig,0341 3383795,https://www.tierarztpraxisernst.de/,,-104,https://www.google.com/maps/place/Tierarzt+Claudia+Ernst/data=!4m7!3m6!1s0x47a6f98f4dc54433:0x32714df92461c3b2!8m2!3d51.2858412!4d12.3871003!16s%2Fg%2F11b6c_sb3h!19sChIJM0TFTY_5pkcRssNhJPlNcTI?authuser=0&hl=en&rclk=1,Leipzig.csv
Tierarztpraxis - Dr. med. vet. Reinhart Voigt,Erlkönigweg 8,Leipzig,0341 8774227,https://tierarztportal.com/leipzig/11981-tierarztpraxis--dr-med-vet-reinhart-voigt,,-69,https://www.google.com/maps/place/Tierarztpraxis+-+Dr.+med.+vet.+Reinhart+Voigt/data=!4m7!3m6!1s0x47a6f9bcf39325e7:0xd0d1bfc99c27c507!8m2!3d51.3043587!4d12.3927106!16s%2Fg%2F1td9v3zc!19sChIJ5yWT87z5pkcRB8UnnMm_0dA?authuser=0&hl=en&rclk=1,Leipzig.csv
Tierarztpraxis Angela Petermann,Kirschbergstraße 28,Leipzig,0341 9013688,http://www.tierarztpraxis-petermann-leipzig.de/,,-457,https://www.google.com/maps/place/Tierarztpraxis+Angela+Petermann/data=!4m7!3m6!1s0x4171c9f0d8623e59:0xf42e3f3d46f77184!8m2!3d51.3652606!4d12.3464352!16s%2Fg%2F1w96fr_8!19sChIJWT5i2PDJcUERhHH3Rj0_LvQ?authuser=0&hl=en&rclk=1,Leipzig.csv
Tierarztpraxis Dr. Christine Fabritius,Davidstraße 16,Leipzig,0341 22287992,http://www.praxis-fabritius.de/,,-285,https://www.google.com/maps/place/Tierarztpraxis+Dr.+Christine+Fabritius/data=!4m7!3m6!1s0x47a6f785968531ed:0x4ea337bd695f6403!8m2!3d51.3353552!4d12.3562637!16s%2Fg%2F1vl5ft3r!19sChIJ7TGFloX3pkcRA2Rfab03o04?authuser=0&hl=en&rclk=1,Leipzig.csv
Tierarztpraxis Dr. Fränze Hering,Bornaische Str. 81,Leipzig,0341 3911818,https://www.dr-hering.de/,,-78,https://www.google.com/maps/place/Tierarztpraxis+Dr.+Fr%C3%A4nze+Hering/data=!4m7!3m6!1s0x47a6f98127a5b681:0x53662d77789db1b8!8m2!3d51.3018112!4d12.3841965!16s%2Fg%2F11kqc8wdq2!19sChIJgbalJ4H5pkcRuLGdeHctZlM?authuser=0&hl=en&rclk=1,Leipzig.csv
Tierarztpraxis Dr. Isabel Göpner/Dr. Silke Schroth,Kröbelstraße 11,Leipzig,0341 2254153,http://www.hund-katze-maus.net/,,-149,https://www.google.com/maps/place/Tierarztpraxis+Dr.+Isabel+G%C3%B6pner%2FDr.+Silke+Schroth/data=!4m7!3m6!1s0x47a6f84fa94103b1:0xac97cdecb5a0b0fc!8m2!3d51.3290964!4d12.4038005!16s%2Fg%2F1ts2z90g!19sChIJsQNBqU_4pkcR_LCgtezNl6w?authuser=0&hl=en&rclk=1,Leipzig.csv
Tierarztpraxis Dr. Jörg Rottmayer,Landsberger Str. 32,Leipzig,0341 9119444,https://www.tierarzt-leipzig.de/,,-316,https://www.google.com/maps/place/Tierarztpraxis+Dr.+J%C3%B6rg+Rottmayer/data=!4m7!3m6!1s0x47a6580889be0b6f:0x9186da8e30002ef2!8m2!3d51.3701766!4d12.3654649!16s%2Fg%2F11b6dq97hl!19sChIJbwu-iQhYpkcR8i4AMI7ahpE?authuser=0&hl=en&rclk=1,Leipzig.csv
"Tierarztpraxis Großzschocher (ehem. TAP Junghanns), Inh. Dr. N. Graneß",Dieskaustraße 224,Leipzig,0341 2528679,http://www.tierarztpraxis-grosszschocher.de/,,-152,"https://www.google.com/maps/place/Tierarztpraxis+Gro%C3%9Fzschocher+%28ehem.+TAP+Junghanns%29,+Inh.+Dr.+N.+Grane%C3%9F/data=!4m7!3m6!1s0x47a6f7467f2515f5:0x272f863d693c0dab!8m2!3d51.2993724!4d12.3273853!16s%2Fg%2F1tfdcgzs!19sChIJ9RUlf0b3pkcRqw08aT2GLyc?authuser=0&hl=en&rclk=1",Leipzig.csv
Tierarztpraxis Jähnig,Waldbaurstraße 2b,Leipzig,0341 2300800,http://www.tierpraxis-leipzig.de/,,-433,https://www.google.com/maps/place/Tierarztpraxis+J%C3%A4hnig/data=!4m7!3m6!1s0x47a6f86e08c276cb:0x2e8a4ed3b2145ff0!8m2!3d51.3509157!4d12.4090541!16s%2Fg%2F11gbtzmh16!19sChIJy3bCCG74pkcR8F8UstNOii4?authuser=0&hl=en&rclk=1,Leipzig.csv
Tierarztpraxis Leutzsch,Prießnitzstraße 35,Leipzig,0341 4414991,https://tierarztpraxis-leutzsch.de/,,-160,https://www.google.com/maps/place/Tierarztpraxis+Leutzsch/data=!4m7!3m6!1s0x47a6f7b529d7d5b9:0xd45a936baced4105!8m2!3d51.3438726!4d12.3200846!16s%2Fg%2F1tqydj6b!19sChIJudXXKbX3pkcRBUHtrGuTWtQ?authuser=0&hl=en&rclk=1,Leipzig.csv
Tierarztpraxis Paarmann,Nordpl. 6,Leipzig,0341 5648773,http://www.tierarztpraxis-paarmann.de/,,-293,https://www.google.com/maps/place/Tierarztpraxis+Paarmann/data=!4m7!3m6!1s0x4171c9ddf565b0d5:0x915bf9603e298c32!8m2!3d51.3526678!4d12.3730593!16s%2Fg%2F1vvr57dx!19sChIJ1bBl9d3JcUERMowpPmD5W5E?authuser=0&hl=en&rclk=1,Leipzig.csv
"Tierarztpraxis Reflexus - Kraa, Dr. Leukert und Girgner",Kochstraße 42,Leipzig,0341 3918270,http://www.reflexus.de/,,-339,"https://www.google.com/maps/place/Tierarztpraxis+Reflexus+-+Kraa,+Dr.+Leukert+und+Girgner/data=!4m7!3m6!1s0x47a6f9d23ea00a69:0x8b08a9fd91a1a8b7!8m2!3d51.3197815!4d12.3712778!16s%2Fg%2F1tdfgqh7!19sChIJaQqgPtL5pkcRt6ihkf2pCIs?authuser=0&hl=en&rclk=1",Leipzig.csv
Tierarztpraxis Reudnitz,Stiftsstraße 7,Leipzig,0341 24960666,http://www.tierarztpraxis-reudnitz.de/,,-211,https://www.google.com/maps/place/Tierarztpraxis+Reudnitz/data=!4m7!3m6!1s0x47a6f90ddc0a7dc7:0xa309464de1210587!8m2!3d51.3304797!4d12.3983104!16s%2Fg%2F11tcbq5cc4!19sChIJx30K3A35pkcRhwUh4U1GCaM?authuser=0&hl=en&rclk=1,Leipzig.csv
Tierarztpraxis Yumeico,Großpösnaer Str. 7,Leipzig,034297 464357,http://www.tierarztpraxis-yumeico.de/,,-142,https://www.google.com/maps/place/Tierarztpraxis+Yumeico/data=!4m7!3m6!1s0x47a6feaff595c7dd:0xa04c3972b4ae7b40!8m2!3d51.2802568!4d12.4730032!16s%2Fg%2F1q5bmyhjn!19sChIJ3ceV9a_-pkcRQHuutHI5TKA?authuser=0&hl=en&rclk=1,Leipzig.csv
Tierarztpraxis am Kirschberg,Karlsruher Str. 29,Leipzig,0341 4205777,http://www.tierarztpraxis-am-kirschberg.de/,,-360,https://www.google.com/maps/place/Tierarztpraxis+am+Kirschberg/data=!4m7!3m6!1s0x47a6f6e8e338941d:0xd0dc984e74e925c7!8m2!3d51.3158911!4d12.2806889!16s%2Fg%2F1tfnxl_q!19sChIJHZQ44-j2pkcRxyXpdE6Y3NA?authuser=0&hl=en&rclk=1,Leipzig.csv
Tierarztpraxis an der Elster - Elstertierärzte,Industriestraße 31,Leipzig,0341 49251338,https://www.elstertierarzt.de/,,-209,https://www.google.com/maps/place/Tierarztpraxis+an+der+Elster+-+Elstertier%C3%A4rzte/data=!4m7!3m6!1s0x47a6f7825a3ea303:0xb43b27f3c73ad316!8m2!3d51.3257802!4d12.3408063!16s%2Fg%2F11fn8h5fz3!19sChIJA6M-WoL3pkcRFtM6x_MnO7Q?authuser=0&hl=en&rclk=1,Leipzig.csv
Tierarztpraxis im Planetenviertel,Jupiterstraße 44,Leipzig,0341 24846222,https://www.tierarztpraxis-im-planetenviertel.de/,,-65,https://www.google.com/maps/place/Tierarztpraxis+im+Planetenviertel/data=!4m7!3m6!1s0x47a6f78ec3285dcd:0x24aebd7bff700800!8m2!3d51.3215772!4d12.2713272!16s%2Fg%2F11whfv118h!19sChIJzV0ow473pkcRAAhw_3u9riQ?authuser=0&hl=en&rclk=1,Leipzig.csv
Tiergesundheitszentrum Leipzig-Nord,Zschortauer Str 74,Leipzig,0341 35248150,http://tgz-leipzig.de/,,-80,https://www.google.com/maps/place/Tiergesundheitszentrum+Leipzig-Nord/data=!4m7!3m6!1s0x47a65735bb2c8201:0x4109bdf9bfd24484!8m2!3d51.3824007!4d12.3924931!16s%2Fg%2F11m59pty89!19sChIJAYIsuzVXpkcRhETSv_m9CUE?authuser=0&hl=en&rclk=1,Leipzig.csv
Tierärztliche Gemeinschaftspraxis,"04275, Kochstraße 42",Leipzig,0341 3918270,http://www.reflexus.de/,,-47,https://www.google.com/maps/place/Tier%C3%A4rztliche+Gemeinschaftspraxis/data=!4m7!3m6!1s0x47a6f9d23b94c907:0x2c6f08c68c4750c8!8m2!3d51.31982!4d12.3710801!16s%2Fg%2F11g86n8s5q!19sChIJB8mUO9L5pkcRyFBHjMYIbyw?authuser=0&hl=en&rclk=1,Leipzig.csv
Tierärztliche Gemeinschaftspraxis Tierarzt Holm Schnelle & Fachtierärztin Simone Fuchs,Bernhardstraße 32,Leipzig,0341 6888327,http://www.schnellefuchs.de/,,-532,https://www.google.com/maps/place/Tier%C3%A4rztliche+Gemeinschaftspraxis+Tierarzt+Holm+Schnelle+%26+Fachtier%C3%A4rztin+Simone+Fuchs/data=!4m7!3m6!1s0x47a6f842b6e09aa5:0xb4576b2ffb7602e!8m2!3d51.3401318!4d12.4114009!16s%2Fg%2F1tdfm8sx!19sChIJpZrgtkL4pkcRLmC3_7J2RQs?authuser=0&hl=en&rclk=1,Leipzig.csv
Tierärztliche Notfallambulanz,Papiermühlstraße 6,Leipzig,0341 99991740,https://notfalltierarzt-leipzig.de/,,-154,https://www.google.com/maps/place/Tier%C3%A4rztliche+Notfallambulanz/data=!4m7!3m6!1s0x47a6f9b0a065e579:0xcd9fff772bcd51f8!8m2!3d51.3241348!4d12.4140391!16s%2Fg%2F11kc0wdk_2!19sChIJeeVloLD5pkcR-FHNK3f_n80?authuser=0&hl=en&rclk=1,Leipzig.csv
Tierärztliche Praxis Dr. Peter Schmidt,Am Schaukelgraben 22,Leipzig,034297 169460,http://tierarzt-schmidt.com/,,-344,https://www.google.com/maps/place/Tier%C3%A4rztliche+Praxis+Dr.+Peter+Schmidt/data=!4m7!3m6!1s0x47a6fff164499acf:0xf76fe76c523f88bb!8m2!3d51.2719593!4d12.4813502!16s%2Fg%2F11fj7cw5xg!19sChIJz5pJZPH_pkcRu4g_Umznb_c?authuser=0&hl=en&rclk=1,Leipzig.csv
"Tierärztliche Praxis für Augenheilkunde, Dr. von Krosigk & Dr. Voigt",Delitzscher Str. 69,Leipzig,0341 91027515,http://www.augentierarzt-leipzig.de/,,-450,"https://www.google.com/maps/place/Tier%C3%A4rztliche+Praxis+f%C3%BCr+Augenheilkunde,+Dr.+von+Krosigk+%26+Dr.+Voigt/data=!4m7!3m6!1s0x47a657fee9c279e9:0xaaf0a6ad4ef96cd0!8m2!3d51.3690939!4d12.3858102!16s%2Fg%2F12llsn36k!19sChIJ6XnC6f5XpkcR0Gz5Tq2m8Ko?authuser=0&hl=en&rclk=1",Leipzig.csv
Tierärztliche Praxis für Haus- und Heimtiere,Landsberger Str. 32,Leipzig,0341 9119444,http://www.tierarzt-leipzig.de/,,-6,https://www.google.com/maps/place/Tier%C3%A4rztliche+Praxis+f%C3%BCr+Haus-+und+Heimtiere/data=!4m7!3m6!1s0x47a6580889be0b6f:0x192894dbf7475b27!8m2!3d51.3701766!4d12.3654649!16s%2Fg%2F11f30p94vz!19sChIJbwu-iQhYpkcRJ1tH99uUKBk?authuser=0&hl=en&rclk=1,Leipzig.csv
Tierärztliche Tagesklinik Weinlein,Dieskaustraße 330-334,Leipzig,0341 99998033,https://tieraerztliche-tagesklinik-weinlein.de/,,-6,https://www.google.com/maps/place/Tier%C3%A4rztliche+Tagesklinik+Weinlein/data=!4m7!3m6!1s0x47a6f1de07391a73:0xfbc90b4ea1b4fd7c!8m2!3d51.2834061!4d12.3110443!16s%2Fg%2F11vs01wvz_!19sChIJcxo5B97xpkcRfP20oU4Lyfs?authuser=0&hl=en&rclk=1,Leipzig.csv
Universität Leipzig - Klinik für Pferde (Chirurgie),,Leipzig,0341 9738264,http://ctk.vetmed.uni-leipzig.de/,,-43,https://www.google.com/maps/place/Universit%C3%A4t+Leipzig+-+Klinik+f%C3%BCr+Pferde+%28Chirurgie%29/data=!4m7!3m6!1s0x47a6f9b4f7b8f7ed:0x84dcf8eb6268a32a!8m2!3d51.3194774!4d12.3930461!16s%2Fg%2F11f4pjh990!19sChIJ7fe497T5pkcRKqNoYuv43IQ?authuser=0&hl=en&rclk=1,Leipzig.csv
Veterinär-Physiologisches Institut,An den Tierkliniken 7,Leipzig,0341 9738060,http://physiologie.vetmed.uni-leipzig.de/,,-1,https://www.google.com/maps/place/Veterin%C3%A4r-Physiologisches+Institut/data=!4m7!3m6!1s0x47a6f9b539dffbb9:0xcf13d7fe19b70fda!8m2!3d51.3214287!4d12.3910428!16s%2Fg%2F11dftrm_z6!19sChIJufvfObX5pkcR2g-3Gf7XE88?authuser=0&hl=en&rclk=1,Leipzig.csv
felmo Mobiler Tierarzt Leipzig,Friedrich-List-Platz 1,Leipzig,0345 48340111,https://felmo.de/tierarzt/leipzig,,-296,https://www.google.com/maps/place/felmo+Mobiler+Tierarzt+Leipzig/data=!4m7!3m6!1s0x6cc55ab71d8d7573:0xb34ddbd18f6b8550!8m2!3d51.3456575!4d12.3919216!16s%2Fg%2F11sn_4lw2b!19sChIJc3WNHbdaxWwRUIVrj9HbTbM?authuser=0&hl=en&rclk=1,Leipzig.csv
Animal Health Center Munich,Birkenleiten 15 81543 München,Munich,089 68008383,http://www.verhaltenstherapie-tier.de/,,,https://www.google.com/maps/place/Animal+Health+Center+Munich/data=!4m7!3m6!1s0x479ddf114d696a7d:0x90d1520b043cdae4!8m2!3d48.1094221!4d11.570112!16s%2Fg%2F12q4scd5g!19sChIJfWppTRHfnUcR5No8BAtS0ZA?authuser=0&hl=en&rclk=1,Munich 2.csv
Dr. Andrea Hollmann,Agnesstraße 61 80797 München,Munich,089 1234663,https://www.tierarztpraxis-hollmann.de/,,,https://www.google.com/maps/place/Dr.+Andrea+Hollmann/data=!4m7!3m6!1s0x479e75de512f1325:0x5000b0c2f61b4581!8m2!3d48.158373!4d11.5613183!16s%2Fg%2F1vk6y682!19sChIJJRMvUd51nkcRgUUb9sKwAFA?authuser=0&hl=en&rclk=1,Munich 2.csv
Dr. Anna Draschka,Fürstenrieder Str. 217 81476 München,Munich,089 72402492,https://tierarzt-hadern.de/,,,https://www.google.com/maps/place/Dr.+Anna+Draschka/data=!4m7!3m6!1s0x479dd8f31b3e0e8b:0x4a8f1794d1fbe2ef!8m2!3d48.1167427!4d11.5027985!16s%2Fg%2F1tdp8m06!19sChIJiw4-G_PYnUcR7-L70ZQXj0o?authuser=0&hl=en&rclk=1,Munich 2.csv
Dr. med. vet. Daniela Festl,Dittmannstraße 28 85540 Haar,Munich,089 43739910,https://tierarztportal.com/haar/3438-tierarztpraxis-%7C-dr-med-vet-eva-katzenberger-%7C-muenchen,,,https://www.google.com/maps/place/Dr.+med.+vet.+Daniela+Festl/data=!4m7!3m6!1s0x479de02a8127bb01:0x324e52159e14d69c!8m2!3d48.122!4d11.69768!16s%2Fg%2F1tj7vcc9!19sChIJAbsngSrgnUcRnNYUnhVSTjI?authuser=0&hl=en&rclk=1,Munich 2.csv
Dr. med. vet. Eva Katzenberger,St.-Martin-Straße 10 81541 München,Munich,089 6917043,https://tierarztportal.com/muenchen/2631-tierarztpraxis-%7C-dr-med-vet-eva-katzenberger-%7C-muenchen,,,https://www.google.com/maps/place/Dr.+med.+vet.+Eva+Katzenberger/data=!4m7!3m6!1s0x479ddf72f09e8301:0x2af0d45cabb91df9!8m2!3d48.116!4d11.581861!16s%2Fg%2F1tgc8hvf!19sChIJAYOe8HLfnUcR-R25q1zU8Co?authuser=0&hl=en&rclk=1,Munich 2.csv
Dr. med. vet. Peter Baumann,Würmtalstraße 64 A 81375 München,Munich,089 7144073,http://www.kleintierpraxis-muenchen.de/,,,https://www.google.com/maps/place/Dr.+med.+vet.+Peter+Baumann/data=!4m7!3m6!1s0x479dd8f7f2f9c721:0x7b21607caa290241!8m2!3d48.1138988!4d11.4878551!16s%2Fg%2F1tr16k7d!19sChIJIcf58vfYnUcRQQIpqnxgIXs?authuser=0&hl=en&rclk=1,Munich 2.csv
Dr. med.vet. Annabelle Culas,Immergrünstraße 14 81547 München,Munich,089 69989404,https://www.tierarztpraxis-culas.de/,,,https://www.google.com/maps/place/Dr.+med.vet.+Annabelle+Culas/data=!4m7!3m6!1s0x479ddf0403a30ad7:0xa9266d5dee8ab45b!8m2!3d48.0995656!4d11.5789365!16s%2Fg%2F1vhq2plm!19sChIJ1wqjAwTfnUcRW7SK7l1tJqk?authuser=0&hl=en&rclk=1,Munich 2.csv
KLEINTIERPRAXIS MÜNCH,"Aubinger Str, neben Lottoladen 2a 81243 München",Munich,089 89866600,,,,https://www.google.com/maps/place/KLEINTIERPRAXIS+M%C3%9CNCH/data=!4m7!3m6!1s0x479dd78f4112f015:0xbcc2dd6d15d4a04b!8m2!3d48.130254!4d11.4317327!16s%2Fg%2F1hc1ww90y!19sChIJFfASQY_XnUcRS6DUFW3dwrw?authuser=0&hl=en&rclk=1,Munich 2.csv
