hfpxzc href,qBF1Pd,W4Efsd,W4Efsd 2,doJOZc,W4Efsd 3,W4Efsd 4,UsdlK,lcr4fd href,Concat
https://www.google.com/maps/place/Veterinarian+Astrid+Ritter/data=!4m7!3m6!1s0x41719728514d6409:0x32953a9ff07ef6ae!8m2!3d51.0921918!4d13.7004953!16s%2Fg%2F1tgplr8c!19sChIJCWRNUSiXcUERrvZ-8J86lTI?authuser=0&hl=en&rclk=1,Veterinarian Astrid Ritter,Veterinarian,·,,·,Leipziger Str. 304,0351 8486705,http://www.tierarztpraxis-ritter.de/,
"https://www.google.com/maps/place/Dr.+Bettina+Stemmermann,+Tier%C3%A4rztin/data=!4m7!3m6!1s0x4709c8ac543f57f3:0xbb121db7f866e35a!8m2!3d51.0455334!4d13.7710108!16s%2Fg%2F1tl9l8vd!19sChIJ81c_VKzICUcRWuNm-LcdErs?authuser=0&hl=en&rclk=1","Dr. Bettina Stemmermann, Tierärztin",Veterinarian,·,,Fetscherstraße 26,·,0351 4598585,http://www.kleintierpraxis-stemmermann.de/,
https://www.google.com/maps/place/Tierarztpraxis+Dr.+med.+Vet.+Ralph+Kobera/data=!4m7!3m6!1s0x4709c706ccc277ed:0x57b6017e0eebb3bf!8m2!3d50.98768!4d13.80508!16s%2Fg%2F1tc_2tc5!19sChIJ7XfCzAbHCUcRv7PrDn4Btlc?authuser=0&hl=en&rclk=1,Tierarztpraxis Dr. med. Vet. Ralph Kobera,Veterinarian,·,,·,Tögelstraße 8,0351 2727047,http://www.tierarzt-kobera.de/,
https://www.google.com/maps/place/Astrid+Ehme+Tierarztpraxis/data=!4m7!3m6!1s0x4709c87d3d4a8669:0xeab803949576c4dd!8m2!3d51.0403369!4d13.82699!16s%2Fg%2F1tscmq53!19sChIJaYZKPX3ICUcR3cR2lZQDuOo?authuser=0&hl=en&rclk=1,Astrid Ehme Tierarztpraxis,Veterinarian,·,,Pillnitzer Landstraße 107,·,0351 2640474,https://tierarztpraxis-ehme-wachwitz.de/,
https://www.google.com/maps/place/Reiner+Benitz+D.V.M.+Tierarztpraxis/data=!4m7!3m6!1s0x4709c891cd00e73d:0x31a03b0f54f7632b!8m2!3d51.0416984!4d13.8001265!16s%2Fg%2F11g9dlr_hn!19sChIJPecAzZHICUcRK2P3VA87oDE?authuser=0&hl=en&rclk=1,Reiner Benitz D.V.M. Tierarztpraxis,Veterinarian,·,,Schandauer Str. 43,·,0351 3115063,http://www.kleintierpraxis-benitz.de/,
https://www.google.com/maps/place/Tierarztpraxis+Nestler+-+bitte+Termin+vereinbaren/data=!4m7!3m6!1s0x4709b909683ed91f:0xfbe754ac53135e13!8m2!3d50.957777!4d13.8616021!16s%2Fg%2F11gpf_d7d6!19sChIJH9k-aAm5CUcRE14TU6xU5_s?authuser=0&hl=en&rclk=1,Tierarztpraxis Nestler - bitte Termin vereinbaren,Veterinarian,·,,·,Burgstraße 32,03529 5373000,http://www.tierarzt-nestler.de/,
https://www.google.com/maps/place/Tierarztpraxis+Dr.+med.+vet.+Sebastian+Justus/data=!4m7!3m6!1s0x4709c9d902ea92cb:0x3bd0420050db6ce6!8m2!3d51.0605698!4d13.8815364!16s%2Fg%2F11g1vksrv_!19sChIJy5LqAtnJCUcR5mzbUABC0Ds?authuser=0&hl=en&rclk=1,Tierarztpraxis Dr. med. vet. Sebastian Justus,Veterinarian,·,,·,Bautzner Landstraße 273,0172 5729633,https://tierarztpraxis-dr-1.jimdosite.com/,On-site services
https://www.google.com/maps/place/PET%2FCT/data=!4m7!3m6!1s0x4709cf76da49105d:0x627605b6814ee289!8m2!3d51.0576773!4d13.7197007!16s%2Fg%2F11c5xsczdw!19sChIJXRBJ2nbPCUcRieJOgbYFdmI?authuser=0&hl=en&rclk=1,PET/CT,Medical diagnostic imaging center,·,,·,"Städtisches Klinikum Dresden Krankenhaus Dresden-Friedrichstadt Radiologische Klinik Friedrichstraße 41, Friedrichstraße 41/Haus L",0351 4801193,https://www.klinikum-dresden.de/zentren/medizinische-zentren/medizinisches-versorgungszentrum-mvz/nuklearmedizin,
https://www.google.com/maps/place/Alpakas-Dresden/data=!4m7!3m6!1s0x4709c80cad44926d:0xad4bd9932023c83f!8m2!3d51.03414!4d13.85086!16s%2Fg%2F11h64_chf9!19sChIJbZJErQzICUcRP8gjIJPZS60?authuser=0&hl=en&rclk=1,Alpakas-Dresden,Veterinarian,·,,Schulstraße 23,,0351 2691052,http://www.alpakas-dresden.de/?do=contact,
https://www.google.com/maps/place/Alpakagesundheitsdienst/data=!4m7!3m6!1s0x4709c701332c0001:0x559ed6ce424b5a6a!8m2!3d50.9876904!4d13.8049978!16s%2Fg%2F11v0c23zjw!19sChIJAQAsMwHHCUcRalpLQs7WnlU?authuser=0&hl=en&rclk=1,Alpakagesundheitsdienst,Veterinary care,·,,Tögelstraße 8,,0351 2727047,,
https://www.google.com/maps/place/Kleintierpraxis/data=!4m7!3m6!1s0x4709c4b9a017f6ed:0x787ceb1e970284d3!8m2!3d50.9860978!4d13.6367529!16s%2Fg%2F11fql188mk!19sChIJ7fYXoLnECUcR04QClx7rfHg?authuser=0&hl=en&rclk=1,Kleintierpraxis,Veterinary care,·,,Dresdner Str. 339,,,,
https://www.google.com/maps/place/Tierarztpraxis+Dr.+Nachtigall/data=!4m7!3m6!1s0x4709b98928ead541:0xc85cf4d0189351bf!8m2!3d50.9749!4d13.86267!16s%2Fg%2F1tdzpvd3!19sChIJQdXqKIm5CUcRv1GTGND0XMg?authuser=0&hl=en&rclk=1,Tierarztpraxis Dr. Nachtigall,Veterinarian,·,,·,Mühlenstraße 22,03529 519422,http://www.tierarztpraxis-nachtigall.de/,
https://www.google.com/maps/place/Tierpraxis+Lunavet/data=!4m7!3m6!1s0x4c5d11aa6553be1d:0x11f5069c82d6dfac!8m2!3d51.175807!4d10.4541194!16s%2Fg%2F11yrksnccj!19sChIJHb5TZaoRXUwRrN_WgpwG9RE?authuser=0&hl=en&rclk=1,Tierpraxis Lunavet,Veterinarian,,,,,01516 7439269,https://www.luna-vet.de/,#REF!
