"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","doJOZc","W4Efsd 7"
"https://www.google.com/maps/place/Tierarztpraxis+B%C3%A4renwiese,+Tierarzt+Berlin-Wilmersdorf/data=!4m7!3m6!1s0x47a850f0c946619d:0x53b9600ffa29d53d!8m2!3d52.4974137!4d13.3248514!16s%2Fg%2F1tk_hr6h!19sChIJnWFGyfBQqEcRPdUp-g9guVM?authuser=0&hl=en&rclk=1","Tierarztpraxis Bärenwiese, Tierarzt Berlin-Wilmersdorf","4.5","(982)","Veterinarian","·","·","Open 24 hours","","Uhlandstraße 151","030 23362627","https://www.tierarzt-baerenwiese.de/","","Website","","Directions","","·"
"https://www.google.com/maps/place/Tiermedizinzentrum+Berlin/data=!4m7!3m6!1s0x47a8506759401557:0x649b4111c0e61131!8m2!3d52.4853661!4d13.3367677!16s%2Fg%2F1thvrqll!19sChIJVxVAWWdQqEcRMRHmwBFBm2Q?authuser=0&hl=en&rclk=1","Tiermedizinzentrum Berlin","3.5","(332)","Veterinarian","·","Kufsteiner Str. 22","Open","· Closes 12 am","·","030 8542050","http://www.tiermedizinzentrum.de/","","Website","","Directions","",""
"https://www.google.com/maps/place/Dr.med.vet.+Wolfgang+Beck+veterinarian/data=!4m7!3m6!1s0x47a84fafd90f6acb:0xb9847fcb07cf6bc9!8m2!3d52.4869708!4d13.4367711!16s%2Fg%2F1tjymrcy!19sChIJy2oP2a9PqEcRyWvPB8t_hLk?authuser=0&hl=en&rclk=1","Dr.med.vet. Wolfgang Beck veterinarian","4.7","(650)","Veterinarian","·","·","Open","· Closes 7 pm","Weichselstraße 25","030 6239664","http://www.tierarztpraxis-dr-beck.de/","","Website","","Directions","","·"
"https://www.google.com/maps/place/Dipl.Med.Vet.+J%C3%B6rg+Porada/data=!4m7!3m6!1s0x416523c75ea54025:0xb6778bc277d3c95d!8m2!3d52.5121682!4d13.419935!16s%2Fg%2F1vc6cd_d!19sChIJJUClXscjZUERXcnTd8KLd7Y?authuser=0&hl=en&rclk=1","Dipl.Med.Vet. Jörg Porada","4.9","(256)","Veterinarian","·","·","Closed","","Rungestraße 18","030 2754906","https://tierarztportal.com/berlin/653-dipl-vet-med-joerg-porada","","Website","","Directions","","·"
"https://www.google.com/maps/place/Tier%C3%A4rztliche+Praxis+f%C3%BCr+Augenerkrankungen+Dr.+Emmelmann+%26+Dr.+Fengler/data=!4m7!3m6!1s0x47a851e1e7c045c9:0x28f6175d96f1cd6c!8m2!3d52.5252071!4d13.4079611!16s%2Fg%2F1tf7r4v1!19sChIJyUXA5-FRqEcRbM3xll0X9ig?authuser=0&hl=en&rclk=1","Tierärztliche Praxis für Augenerkrankungen Dr. Emmelmann & Dr. Fengler","4.4","(259)","Veterinarian","·","·","Open","· Closes 6 pm","Max-Beer-Str. 7","030 2426512","http://www.augentierarzt-berlin.de/","","Website","","Directions","","·"
"https://www.google.com/maps/place/Dr.+Johanna+Pauls/data=!4m7!3m6!1s0x47a84e00de054f03:0xd88aadf11ead293d!8m2!3d52.5385307!4d13.4216955!16s%2Fg%2F11c1tlz48s!19sChIJA08F3gBOqEcRPSmtHvGtitg?authuser=0&hl=en&rclk=1","Dr. Johanna Pauls","4.9","(150)","Veterinarian","·","·","","","Rykestraße 35","030 23900061","http://www.kleintier-sonographie.de/?page_id=122","","Website","","Directions","",""
"https://www.google.com/maps/place/Rex+Tierarztpraxis+Berlin-Prenzlauer+Berg/data=!4m7!3m6!1s0x47a84fddfeb06ccf:0xfce256665a5b5802!8m2!3d52.5334687!4d13.4293548!16s%2Fg%2F11vyxr1h3w!19sChIJz2yw_t1PqEcRAlhbWmZW4vw?authuser=0&hl=en&rclk=1","Rex Tierarztpraxis Berlin-Prenzlauer Berg","4.7","(286)","Veterinarian","·","Greifswalder Str. 204","Closed","· Opens 9 am Sat","·","030 91733620","https://www.rex.app/praxen/berlin-prenzlauer-berg","","Website","","Directions","",""
"https://www.google.com/maps/place/Kleintierpraxis+im+Kiez+-+TA+J%C3%B6rg+Saecker/data=!4m7!3m6!1s0x47a8504a492c46a7:0x39b2ed0c13067f81!8m2!3d52.5008191!4d13.3628081!16s%2Fg%2F1tdq9m52!19sChIJp0YsSUpQqEcRgX8GEwztsjk?authuser=0&hl=en&rclk=1","Kleintierpraxis im Kiez - TA Jörg Saecker","4.7","(181)","Veterinarian","·","·","Closed","· Opens 4 pm","Pohlstraße 69","0163 6746922","http://www.kieztierarzt.de/","","Website","","Directions","","·"
"https://www.google.com/maps/place/Veterinary+practice+Galina+Schirow+GmbH/data=!4m7!3m6!1s0x47a851081855956d:0x502d097849852630!8m2!3d52.5190267!4d13.3427188!16s%2Fg%2F1q4knllr2!19sChIJbZVVGAhRqEcRMCaFSXgJLVA?authuser=0&hl=en&rclk=1","Veterinary practice Galina Schirow GmbH","4.9","(735)","Veterinarian","·","·","Closed","· Opens 4 pm","Bartningallee 5","030 39886966","http://www.vetpraxis-schirow.de/","","Website","","Directions","","·"
"https://www.google.com/maps/place/Veterinary+practice+Friedrichshain+Sabine+Heidel/data=!4m7!3m6!1s0x47a84e695cc6d7f1:0x3283c49cdeb81b59!8m2!3d52.5209184!4d13.4462681!16s%2Fg%2F11c6f0l69_!19sChIJ8dfGXGlOqEcRWRu43pzEgzI?authuser=0&hl=en&rclk=1","Veterinary practice Friedrichshain Sabine Heidel","4.5","(226)","Veterinarian","·","Auerstraße 44","Closed","· Opens 9 am Fri","·","030 78083485","http://www.tierarztpraxis-friedrichshain.de/","","Website","","Directions","",""
"https://www.google.com/maps/place/felmo+Mobiler+Tierarzt+Berlin/data=!4m7!3m6!1s0x47a851daf8337149:0x6726eb1d6104038b!8m2!3d52.5241016!4d13.3327137!16s%2Fg%2F11hds6bxzr!19sChIJSXEz-NpRqEcRiwMEYR3rJmc?authuser=0&hl=en&rclk=1","felmo Mobiler Tierarzt Berlin","4.8","(7,730)","Veterinarian","·","·","Open","· Closes 6 pm","Alt-Moabit 73/73a","030 31196542","https://felmo.de/tierarzt/berlin/?utm_medium=referral&utm_source=google_my_business&utm_term=berlin","","Website","","Directions","","·"
"https://www.google.com/maps/place/Swetlana+Hempel/data=!4m7!3m6!1s0x47a851f0e234d309:0xfa95cf8faf36293f!8m2!3d52.5369406!4d13.3955607!16s%2Fg%2F11hlyn9qr5!19sChIJCdM04vBRqEcRPyk2r4_Plfo?authuser=0&hl=en&rclk=1","Swetlana Hempel","4.9","(62)","Veterinarian","·","Rheinsberger Str. 74","Open","· Closes 6 pm","·","030 4493433","https://www.tierarztpraxis-hempel.de/","","Website","","Directions","",""
"https://www.google.com/maps/place/Pet-Station/data=!4m7!3m6!1s0x47a8503834c7a8f7:0xef4fab72ef1a7364!8m2!3d52.4921297!4d13.3651314!16s%2Fg%2F1tdq9m4_!19sChIJ96jHNDhQqEcRZHMa73KrT-8?authuser=0&hl=en&rclk=1","Pet-Station","4.8","(123)","Veterinarian","·","·","Closes soon","· 4 pm · Opens 9:30 am Fri","Kulmer Str. 26","030 51058546","http://www.pet-station.de/","","Website","","Directions","","·"
"https://www.google.com/maps/place/Tierarztpraxis+Gasteiner+Stra%C3%9Fe/data=!4m7!3m6!1s0x47a850f534477365:0x6c6d9d183d1af748!8m2!3d52.4873129!4d13.3260485!16s%2Fg%2F1v_nbk07!19sChIJZXNHNPVQqEcRSPcaPRidbWw?authuser=0&hl=en&rclk=1","Tierarztpraxis Gasteiner Straße","4.9","(89)","Veterinarian","·","Gasteiner Str. 33","Open","· Closes 6 pm","·","030 8618564","http://www.tierarztpraxis-gasteiner-strasse.de/","","Website","","Directions","",""
"https://www.google.com/maps/place/Dr.med.vet.+Holger+Fuhrmann/data=!4m7!3m6!1s0x416523d672fb2521:0x77f0c1c81b5a1606!8m2!3d52.5290189!4d13.4684552!16s%2Fg%2F1wf20wmg!19sChIJISX7ctYjZUERBhZaG8jB8Hc?authuser=0&hl=en&rclk=1","Dr.med.vet. Holger Fuhrmann","4.6","(316)","Veterinarian","·","·","Closed","· Opens 4:30 pm","Franz-Jacob-Straße 14","030 9758808","https://tierarztindeutschland.de/berlin/berlin/drmedvet-holger-fuhrmann-berlin/","","Website","","Directions","","·"
"https://www.google.com/maps/place/Dr.+med.+vet.+Claudia+Handke/data=!4m7!3m6!1s0x47a851ffe8bf593f:0x91d6e1cf0d7f4c94!8m2!3d52.5407316!4d13.4157091!16s%2Fg%2F1tfw21mc!19sChIJP1m_6P9RqEcRlEx_Dc_h1pE?authuser=0&hl=en&rclk=1","Dr. med. vet. Claudia Handke","4.9","(256)","Veterinarian","·","Danziger Str. 15","Closed","· Opens 10 am Mon","·","030 4421760","http://www.tierarztpraxis-prenzlauerberg.de/","","Website","","Directions","",""
"https://www.google.com/maps/place/Tierarztpraxis+Dr.+Peter+Vogel/data=!4m7!3m6!1s0x47a84e5e02696dbf:0x3d814eedbcad95ff!8m2!3d52.5114026!4d13.4666047!16s%2Fg%2F1tvt9ckb!19sChIJv21pAl5OqEcR_5WtvO1OgT0?authuser=0&hl=en&rclk=1","Tierarztpraxis Dr. Peter Vogel","4.7","(512)","Veterinarian","·","·","Closed","","Finowstraße 14","030 29776835","http://www.drpetervogel.de/","","Website","","Directions","","·"
"https://www.google.com/maps/place/Tierarztpraxis+Liegnitzer/data=!4m7!3m6!1s0x416523758d183683:0xf7206235691d1a5c!8m2!3d52.4929802!4d13.4338649!16s%2Fg%2F11b6b3ngv4!19sChIJgzYYjXUjZUERXBodaTViIPc?authuser=0&hl=en&rclk=1","Tierarztpraxis Liegnitzer","4.7","(225)","Veterinarian","·","Liegnitzer Str. 19","Closed","· Opens 10 am Fri","·","030 6126474","http://www.tierarztpraxis-liegnitzer.de/","","Website","","Directions","",""
"https://www.google.com/maps/place/Janine+Br%C3%A4uer+Kleintierpraxis+%28reine+Terminpraxis%29/data=!4m7!3m6!1s0x47a84fcafc28d597:0xf2a2ef087c66d8bb!8m2!3d52.4921892!4d13.4478362!16s%2Fg%2F11d_ty4td9!19sChIJl9Uo_MpPqEcRu9hmfAjvovI?authuser=0&hl=en&rclk=1","Janine Bräuer Kleintierpraxis (reine Terminpraxis)","4.8","(138)","Veterinarian","·","Krüllsstraße 5","Closed","· Opens 10 am Mon","·","030 6912677","http://www.tap.berlin/","","Website","","Directions","",""
"https://www.google.com/maps/place/Veterinary+practice+E.+Laskawy/data=!4m7!3m6!1s0x47a84e61d0077367:0x5bd567a75ef25002!8m2!3d52.5176605!4d13.4663371!16s%2Fg%2F1tffncfm!19sChIJZ3MH0GFOqEcRAlDyXqdn1Vs?authuser=0&hl=en&rclk=1","Veterinary practice E. Laskawy","4.6","(393)","Veterinarian","·","·","Closed","","Bänschstraße 58","030 4267684","http://www.laskawy-berlin.de/","","Website","","Directions","","·"
"https://www.google.com/maps/place/Tierarztpraxis+Br%C3%A4uer+%28reine+Terminpraxis%29/data=!4m7!3m6!1s0x4165239e27544f39:0x7dcf458d41f35d1e!8m2!3d52.4921892!4d13.4478362!16s%2Fg%2F11b6xch1hf!19sChIJOU9UJ54jZUERHl3zQY1Fz30?authuser=0&hl=en&rclk=1","Tierarztpraxis Bräuer (reine Terminpraxis)","4.8","(174)","Veterinarian","·","Krüllsstraße 5","Closed","· Opens 10 am Mon","·","030 6912677","http://www.tap.berlin/","","Website","","Directions","",""
"https://www.google.com/maps/place/Veterinary+clinic+for+cats+-+vets+for+cats+Berlin/data=!4m7!3m6!1s0x47a8505c14dd0365:0x6592bbfb53015b3e!8m2!3d52.4897329!4d13.3391583!16s%2Fg%2F1ptvqbly0!19sChIJZQPdFFxQqEcRPlsBU_u7kmU?authuser=0&hl=en&rclk=1","Veterinary clinic for cats - vets for cats Berlin","4.7","(287)","Veterinarian","·","Bayerischer Pl. 2","Closed","· Opens 9 am Sat","·","030 34398877","https://www.vetsforcats.de/","","Website","","Directions","",""
"https://www.google.com/maps/place/Christin+Bechmann+-+Kleintierpraxis+in+der+Torstrasse/data=!4m7!3m6!1s0x47a851784aa8f885:0x6fd73a46f22c9791!8m2!3d52.5288006!4d13.4081521!16s%2Fg%2F11p56hkzj_!19sChIJhfioSnhRqEcRkZcs8kY6128?authuser=0&hl=en&rclk=1","Christin Bechmann - Kleintierpraxis in der Torstrasse","4.9","(221)","Veterinarian","·","·","Closed","· Opens 10 am Mon","Torstraße 64","030 28598058","http://kleintierpraxis-torstrasse.berlin/","","Website","","Directions","","·"
"https://www.google.com/maps/place/Rex+Tierarztpraxis+Berlin-Neuk%C3%B6lln/data=!4m7!3m6!1s0x47a84f02117b7aa1:0x8e984c17afbad159!8m2!3d52.4807233!4d13.4258771!16s%2Fg%2F11sk2_b56b!19sChIJoXp7EQJPqEcRWdG6rxdMmI4?authuser=0&hl=en&rclk=1","Rex Tierarztpraxis Berlin-Neukölln","4.8","(557)","Veterinarian","·","·","Open","· Closes 8 pm","Hermannstraße 227","030 91734766","https://www.rex.app/praxen/rex-berlin-neukoelln","","Website","","Directions","","·"
"https://www.google.com/maps/place/Dr.med.vet.+J%C3%B6rg+Bauer+veterinarian/data=!4m7!3m6!1s0x47a84e8dc4ef81a5:0xdab0fa198214e628!8m2!3d52.5174915!4d13.4797972!16s%2Fg%2F1tlmmbxl!19sChIJpYHvxI1OqEcRKOYUghn6sNo?authuser=0&hl=en&rclk=1","Dr.med.vet. Jörg Bauer veterinarian","4.6","(292)","Veterinarian","·","Möllendorffstraße 104/105","Closed","· Opens 4 pm","·","030 55491515","http://www.tierarzt-berlin-lichtenberg.de/","","Website","","Directions","",""
"https://www.google.com/maps/place/Anne-D%C3%B6rte+Ferencz/data=!4m7!3m6!1s0x47a8510c267838b1:0x1e09362aa8274b84!8m2!3d52.5241476!4d13.3360137!16s%2Fg%2F1tcztzqq!19sChIJsTh4JgxRqEcRhEsnqCo2CR4?authuser=0&hl=en&rclk=1","Anne-Dörte Ferencz","4.8","(105)","Veterinarian","·","·","Closed","· Opens 10 am Fri","Elberfelder Str. 3","030 39889278","http://www.tierarztpraxis-moabit.de/","","Website","","Directions","","·"
"https://www.google.com/maps/place/Tierarztpraxis+Brigitte+Ludwig-Kahya/data=!4m7!3m6!1s0x47a8502b6084b857:0x2bae721d26f5f822!8m2!3d52.5003224!4d13.389816!16s%2Fg%2F1thwzgd_!19sChIJV7iEYCtQqEcRIvj1Jh1yris?authuser=0&hl=en&rclk=1","Tierarztpraxis Brigitte Ludwig-Kahya","4.3","(105)","Veterinarian","·","·","","","Wilhelmstraße 3","030 2513480","http://www.tierarztpraxis-in-kreuzberg.de/","","Website","","Directions","",""
"https://www.google.com/maps/place/Rex+Tierarztpraxis+Berlin-Friedrichshain/data=!4m7!3m6!1s0x47a84f9be0f199a1:0x1bc2f105df77e470!8m2!3d52.5072059!4d13.4575494!16s%2Fg%2F11vhg12w0x!19sChIJoZnx4JtPqEcRcOR33wXxwhs?authuser=0&hl=en&rclk=1","Rex Tierarztpraxis Berlin-Friedrichshain","4.5","(499)","Veterinarian","·","·","Closed","· Opens 9 am Sat","Revaler Str. 17","030 91734338","https://www.rex.app/praxen/rex-berlin-friedrichshain","","Website","","Directions","","·"
"https://www.google.com/maps/place/Tierarztpraxis+am+Urbanhafen/data=!4m7!3m6!1s0x47a84fd3b653770d:0xd3240f83e30b3ce3!8m2!3d52.4956405!4d13.4053191!16s%2Fg%2F1w04j3nk!19sChIJDXdTttNPqEcR4zwL44MPJNM?authuser=0&hl=en&rclk=1","Tierarztpraxis am Urbanhafen","4.8","(191)","Veterinarian","·","·","Closed","· Opens 5 pm","Baerwaldstraße 69","030 61074959","https://www.tierarztpraxis-am-urbanhafen.de/","","Website","","Directions","","·"
"https://www.google.com/maps/place/Tierarztpraxis+Rotgang/data=!4m7!3m6!1s0x47a84f8d95729e73:0x6bb27b6cd086cd71!8m2!3d52.5310183!4d13.4278352!16s%2Fg%2F11qr9m8bs3!19sChIJc55ylY1PqEcRcc2G0Gx7sms?authuser=0&hl=en&rclk=1","Tierarztpraxis Rotgang","5.0","(275)","Veterinarian","·","·","Closed","· Opens 5 pm","Greifswalder Str: 21","030 4254696","https://www.tierarztpraxis-rotgang.de/","","Website","","Directions","","·"
"https://www.google.com/maps/place/Tierarztpraxis+Dr.+Wolfgang+Hoffmann/data=!4m7!3m6!1s0x47a8510caadb0765:0x7a46839bcc9540e1!8m2!3d52.5285744!4d13.3411832!16s%2Fg%2F1tg673tv!19sChIJZQfbqgxRqEcR4UCVzJuDRno?authuser=0&hl=en&rclk=1","Tierarztpraxis Dr. Wolfgang Hoffmann","4.8","(176)","Veterinarian","·","Wilhelmshavener Str. 64","Closed","· Opens 10 am Mon","·","030 3952768","http://www.tierarzt-wh.de/","","Website","","Directions","",""
"https://www.google.com/maps/place/ANIMAL+MRI+%2F+BERLIN-CT+CENTER/data=!4m7!3m6!1s0x47a851c1ef1d6d97:0x30b6973757934b31!8m2!3d52.522981!4d13.383286!16s%2Fg%2F11bw3_y33j!19sChIJl20d78FRqEcRMUuTVzeXtjA?authuser=0&hl=en&rclk=1","ANIMAL MRI / BERLIN-CT CENTER","5.0","(9)","Veterinarian","·","·","Open","· Closes 9 pm","Reinhardtstraße 25","0170 9500270","https://www.vet-tomopet.de/","","Website","","Directions","","·"
"https://www.google.com/maps/place/felmo+Mobiler+Tierarzt+Berlin/data=!4m7!3m6!1s0x47a851daf8337149:0x6726eb1d6104038b!8m2!3d52.524102!4d13.332714!16s%2Fg%2F11hds6bxzr!19sChIJSXEz-NpRqEcRiwMEYR3rJmc?authuser=0&hl=en&rclk=1","felmo Mobiler Tierarzt Berlin","4.8","(7,724)","Veterinarian","·","73 Alt-Moabit","Open","· Closes 6 pm","·","0800 0010347","https://www.google.com/aclk?sa=L&ai=DChsSEwj5m8qm-NiRAxUJmYMHHc-YE5YYACICCAEQARoCZWY&co=1&ase=2&gclid=CjwKCAiA3rPKBhBZEiwAhPNFQJXiuBVdeqHgBjRVmwr7vdHLGsU-S8BKNErQ_fZ7uMz0RZv_RG8aXxoCUfMQAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_2o2lYG2UHCMDSTcV2wWsS4zyGOcA&adurl&q&ctype=99&nis=6","","Website","","Directions","",""
"https://www.google.com/maps/place/felmo+Mobiler+Tierarzt+Berlin/data=!4m7!3m6!1s0x47a851daf8337149:0x6726eb1d6104038b!8m2!3d52.524102!4d13.332714!16s%2Fg%2F11hds6bxzr!19sChIJSXEz-NpRqEcRiwMEYR3rJmc?authuser=0&hl=en&rclk=1","felmo Mobiler Tierarzt Berlin","4.8","(7,724)","Veterinarian","·","73 Alt-Moabit","Open","· Closes 6 pm","·","0800 0010347","https://www.google.com/aclk?sa=L&ai=DChsSEwi3q_Ko-NiRAxXPpYMHHZ_WAZMYACICCAEQABoCZWY&co=1&ase=2&gclid=CjwKCAiA3rPKBhBZEiwAhPNFQAbDkhsIkBIdyOpxu4-Oqus-0L3Pr2gC3zpgXPoNpyK8ySHtLX-QUhoC3kcQAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_2orT0A_RaGFRqRB-ppPC59hwWshA&adurl&q&ctype=99&nis=6","","Website","","Directions","",""
"https://www.google.com/maps/place/Tierarztpraxis+Oldenburger+Stra%C3%9Fe/data=!4m7!3m6!1s0x47a8510d369c5953:0xebafa45584e9073b!8m2!3d52.5289304!4d13.3357299!16s%2Fg%2F11c6_bkhly!19sChIJU1mcNg1RqEcROwfphFWkr-s?authuser=0&hl=en&rclk=1","Tierarztpraxis Oldenburger Straße","4.7","(286)","Veterinarian","·","·","Closed","· Opens 6 pm","Oldenburger Str. 44","030 3951555","http://www.tierarztpraxis-oldenburger-strasse.de/","","Website","","Directions","","·"
"https://www.google.com/maps/place/Tierarztpraxis+am+S%C3%BCdkreuz/data=!4m7!3m6!1s0x47a85015c7a92a8b:0x82877ba7d1db3449!8m2!3d52.4808667!4d13.3621523!16s%2Fg%2F1ts1r7x_!19sChIJiyqpxxVQqEcRSTTb0ad7h4I?authuser=0&hl=en&rclk=1","Tierarztpraxis am Südkreuz","4.8","(152)","Veterinarian","·","·","Closed","","Gustav-Müller-Straße 19","030 96083860","http://www.tierarztpraxis-am-suedkreuz.de/","","Website","","Directions","","·"
"https://www.google.com/maps/place/vetevo+GmbH/data=!4m7!3m6!1s0x47a84e1d07aa4e31:0xd0c73b40e8e682b1!8m2!3d52.5430556!4d13.4140712!16s%2Fg%2F11f00nrkbp!19sChIJMU6qBx1OqEcRsYLm6EA7x9A?authuser=0&hl=en&rclk=1","vetevo GmbH","4.8","(3,212)","Veterinarian","·","·","Open","· Closes 7 pm","Pappelallee 78/79","030 54448546","https://vetevo.de/","","Website","","Directions","","·"
"https://www.google.com/maps/place/Tierarztpraxis+Diek/data=!4m7!3m6!1s0x416523758ce30617:0x82bb9d8918d93942!8m2!3d52.4930391!4d13.3455028!16s%2Fg%2F1trvkgdk!19sChIJFwbjjHUjZUERQjnZGImdu4I?authuser=0&hl=en&rclk=1","Tierarztpraxis Diek","4.9","(229)","Veterinarian","·","Traunsteiner Str. 1","Closed","· Opens 4 pm","·","030 2142954","https://www.tierarzt-onlineverzeichnis.de/tierarztpraxis/10781-berlin/gudrun-diek/1525/","","Website","","Directions","",""
"https://www.google.com/maps/place/Tierphysiotherapie+%26+-heilpraxis+Sabrina+Findeisen/data=!4m7!3m6!1s0x47a84f7e7c59194d:0x1a71fc1a63d4b4c9!8m2!3d52.508728!4d13.4659234!16s%2Fg%2F11kx2j8bdv!19sChIJTRlZfH5PqEcRybTUYxr8cRo?authuser=0&hl=en&rclk=1","Tierphysiotherapie & -heilpraxis Sabrina Findeisen","4.9","(68)","Veterinarian","·","·","Open","· Closes 6 pm","Boxhagener Str. 47","0176 20174346","https://tierphysioberlin.simplybook.it/","","Website","","Directions","","·"
"https://www.google.com/maps/place/Dr.+med.+vet.+Ann-Kathrin+Fritsche+-+Tierverhaltensmedizin+-+Beratung+%26+Therapie/data=!4m7!3m6!1s0x47a84e6e9f1c0fb1:0xb9d56d8bb1c3437a!8m2!3d52.5234212!4d13.4470607!16s%2Fg%2F11h68m399l!19sChIJsQ8cn25OqEcRekPDsYtt1bk?authuser=0&hl=en&rclk=1","Dr. med. vet. Ann-Kathrin Fritsche - Tierverhaltensmedizin - Beratung & Therapie","4.8","(30)","Veterinarian","·","Wilhelm-Stolze-Straße 32","Closed","· Opens 9 am Fri","·","0174 3595658","http://tierverhalten.berlin/","","Website","","Directions","",""
"https://www.google.com/maps/place/Tierarztpraxis+Hempel/data=!4m7!3m6!1s0x47a8510f67d1dcd3:0x948429fd788580a8!8m2!3d52.5369406!4d13.3955607!16s%2Fg%2F11j0h41f6m!19sChIJ09zRZw9RqEcRqICFeP0phJQ?authuser=0&hl=en&rclk=1","Tierarztpraxis Hempel","4.6","(118)","Veterinarian","·","Rheinsberger Str. 74","Closed","· Opens 9 am Sat","·","030 4493433","http://www.tierarztpraxis-hempel.de/","","Website","","Directions","",""
