"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","doJOZc","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","ah5Ghc 4","ah5Ghc 5","W4Efsd 7"
"https://www.google.com/maps/place/Veterinary+practice+Galina+Schirow+GmbH/data=!4m7!3m6!1s0x47a851081855956d:0x502d097849852630!8m2!3d52.5190267!4d13.3427188!16s%2Fg%2F1q4knllr2!19sChIJbZVVGAhRqEcRMCaFSXgJLVA?authuser=0&hl=en&rclk=1","Veterinary practice Galina Schirow GmbH","4.9","(735)","Veterinarian","·","·","Bartningallee 5","Open","·","030 39886966","http://www.vetpraxis-schirow.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Super friendly and","speaking English",".""","","","· Closes 7 pm"
"https://www.google.com/maps/place/Veterinarian+and+cattery/data=!4m7!3m6!1s0x47a84e71edabbaf1:0xcdafb946c2a44b7b!8m2!3d52.5281499!4d13.4502641!16s%2Fg%2F1tctwlbc!19sChIJ8bqr7XFOqEcRe0ukwka5r80?authuser=0&hl=en&rclk=1","Veterinarian and cattery","4.5","(240)","Veterinarian","·","Conrad-Blenkle-Straße 4","·","Closes soon","","030 42085005","http://www.tierarztpraxis-am-velodrom.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Awesome personal with good sense of humor and","English language","support.""","","","· 5 pm · Opens 10 am Fri"
"https://www.google.com/maps/place/Kleintierspezialisten/data=!4m7!3m6!1s0x47a8546da2194129:0xabec156afe70dbc2!8m2!3d52.5804499!4d13.2947749!16s%2Fg%2F11g_c36zx!19sChIJKUEZom1UqEcRwttw_moV7Ks?authuser=0&hl=en&rclk=1","Kleintierspezialisten","4.3","(1,813)","Animal hospital","·","·","Wittestraße 30P","Open","·","030 43662200","http://www.kleintierspezialisten.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Fair prices and professional service and diagnosis.""","","","","","· Closes 8 pm"
"https://www.google.com/maps/place/Tierarztpraxis+am+B%C3%BCrgerpark/data=!4m7!3m6!1s0x47a8526a0b277a85:0x270120f4bde31a8f!8m2!3d52.5694571!4d13.3998919!16s%2Fg%2F1th27f8z!19sChIJhXonC2pSqEcRjxrjvfQgASc?authuser=0&hl=en&rclk=1","Tierarztpraxis am Bürgerpark","4.8","(130)","Veterinarian","·","·","Wilhelm-Kuhr-Straße 2","Closed","·","030 48479400","http://www.tierarzt-pankow.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ms Schlichting was also very helpful in explaining details & giving advice.""","","","","",""
"https://www.google.com/maps/place/Dr.med.vet.+Claudia+Pastor+Tier%C3%A4rztin/data=!4m7!3m6!1s0x47a8517e21566743:0x114581b9a63794aa!8m2!3d52.54868!4d13.3531601!16s%2Fg%2F1tv235bz!19sChIJQ2dWIX5RqEcRqpQ3prmBRRE?authuser=0&hl=en&rclk=1","Dr.med.vet. Claudia Pastor Tierärztin","4.6","(407)","Veterinarian","·","·","Brüsseler Str. 52A","Open","·","030 4539080","http://www.tierarztpraxis-pastor.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They","speak English","and you can book online, what is very convenient.""","","","· Closes 7 pm"
"https://www.google.com/maps/place/Kleintierpraxis+Flidais-vet+Kreuzberg/data=!4m7!3m6!1s0x47a84e4b4fcb4dcd:0x1a48f0f57b4804b9!8m2!3d52.4969444!4d13.4325!16s%2Fg%2F11bttkq8nz!19sChIJzU3LT0tOqEcRuQRIe_XwSBo?authuser=0&hl=en&rclk=1","Kleintierpraxis Flidais-vet Kreuzberg","4.6","(355)","Veterinarian","·","Wiener Str. 25","·","Open","","030 6181766","https://www.flidais-vet.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Very good place with great","English speaking","doctors!""","","","· Closes 6 pm"
"https://www.google.com/maps/place/Dr.+Johanna+Pauls/data=!4m7!3m6!1s0x47a84e00de054f03:0xd88aadf11ead293d!8m2!3d52.5385307!4d13.4216955!16s%2Fg%2F11c1tlz48s!19sChIJA08F3gBOqEcRPSmtHvGtitg?authuser=0&hl=en&rclk=1","Dr. Johanna Pauls","4.9","(150)","Veterinarian","·","·","Rykestraße 35","","","030 23900061","http://www.kleintier-sonographie.de/?page_id=122","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Recommended!""","","","","",""
"https://www.google.com/maps/place/Tierarztpraxis+B%C3%A4renwiese,+Tierarzt+Berlin-Wilmersdorf/data=!4m7!3m6!1s0x47a850f0c946619d:0x53b9600ffa29d53d!8m2!3d52.4974137!4d13.3248514!16s%2Fg%2F1tk_hr6h!19sChIJnWFGyfBQqEcRPdUp-g9guVM?authuser=0&hl=en&rclk=1","Tierarztpraxis Bärenwiese, Tierarzt Berlin-Wilmersdorf","4.5","(982)","Veterinarian","·","·","Uhlandstraße 151","Open 24 hours","·","030 23362627","https://www.tierarzt-baerenwiese.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They are helpful, knowledgeable and","speak","great","English",".""",""
"https://www.google.com/maps/place/Tierklinik+Berlin-Marzahn+-+Notaufnahme+sowie+ambulante-+und+station%C3%A4re+Behandlung+von+Hunden,+Katzen+und+Heimtieren/data=!4m7!3m6!1s0x47a84b891c4f6dd5:0x6ef5e03f03229f16!8m2!3d52.55559!4d13.55323!16s%2Fg%2F1td_9q81!19sChIJ1W1PHIlLqEcRFp8iAz_g9W4?authuser=0&hl=en&rclk=1","Tierklinik Berlin-Marzahn - Notaufnahme sowie ambulante- und stationäre Behandlung von Hunden, Katzen und Heimtieren","3.8","(1,794)","Animal hospital","·","·","Märkische Allee 258","Open 24 hours","·","030 9322093","http://www.tierklinik-in-berlin.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Thank you to everyone for saving my baby!""","","","","",""
"https://www.google.com/maps/place/Dr.med.vet.+Wolfgang+Beck+veterinarian/data=!4m7!3m6!1s0x47a84fafd90f6acb:0xb9847fcb07cf6bc9!8m2!3d52.4869708!4d13.4367711!16s%2Fg%2F1tjymrcy!19sChIJy2oP2a9PqEcRyWvPB8t_hLk?authuser=0&hl=en&rclk=1","Dr.med.vet. Wolfgang Beck veterinarian","4.7","(650)","Veterinarian","·","·","Weichselstraße 25","Open","·","030 6239664","http://www.tierarztpraxis-dr-beck.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Doctors","speak English","and always have the best solutions for the patients!""","","","· Closes 7 pm"
"https://www.google.com/maps/place/Tierarztpraxis+am+Mauerpark/data=!4m7!3m6!1s0x47a852030f2840a1:0xe998cf9fcb19f10b!8m2!3d52.5471166!4d13.4082182!16s%2Fg%2F1tf9rvwn!19sChIJoUAoDwNSqEcRC_EZy5_PmOk?authuser=0&hl=en&rclk=1","Tierarztpraxis am Mauerpark","4.7","(212)","Veterinarian","·","·","Gleimstraße 15","Closed","·","030 4407155","http://www.tierarztpraxis-mauerpark.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""She is very attentive, friendly and speaks good","English",".""","","","· Opens 9 am Mon"
"https://www.google.com/maps/place/felmo+Mobiler+Tierarzt+Berlin/data=!4m7!3m6!1s0x47a851daf8337149:0x6726eb1d6104038b!8m2!3d52.5241016!4d13.3327137!16s%2Fg%2F11hds6bxzr!19sChIJSXEz-NpRqEcRiwMEYR3rJmc?authuser=0&hl=en&rclk=1","felmo Mobiler Tierarzt Berlin","4.8","(7,730)","Veterinarian","·","·","Alt-Moabit 73/73a","Open","·","030 31196542","https://felmo.de/tierarzt/berlin/?utm_medium=referral&utm_source=google_my_business&utm_term=berlin","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Doctors are friendly and competent and they","speak","also","English",".""","· Closes 6 pm"
"https://www.google.com/maps/place/Veterinary+clinic+for+cats+-+vets+for+cats+Berlin/data=!4m7!3m6!1s0x47a8505c14dd0365:0x6592bbfb53015b3e!8m2!3d52.4897329!4d13.3391583!16s%2Fg%2F1ptvqbly0!19sChIJZQPdFFxQqEcRPlsBU_u7kmU?authuser=0&hl=en&rclk=1","Veterinary clinic for cats - vets for cats Berlin","4.7","(287)","Veterinarian","·","Bayerischer Pl. 2","·","Closed","","030 34398877","https://www.vetsforcats.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Compassionate care and","English-speaking vets","available.""","","","· Opens 9 am Sat"
"https://www.google.com/maps/place/Dipl.Med.Vet.+J%C3%B6rg+Porada/data=!4m7!3m6!1s0x416523c75ea54025:0xb6778bc277d3c95d!8m2!3d52.5121682!4d13.419935!16s%2Fg%2F1vc6cd_d!19sChIJJUClXscjZUERXcnTd8KLd7Y?authuser=0&hl=en&rclk=1","Dipl.Med.Vet. Jörg Porada","4.9","(256)","Veterinarian","·","·","Rungestraße 18","Closed","·","030 2754906","https://tierarztportal.com/berlin/653-dipl-vet-med-joerg-porada","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""He's also a good listener and able to","speak English",".""","","",""
"https://www.google.com/maps/place/felmo+Mobiler+Tierarzt+Berlin/data=!4m7!3m6!1s0x47a851daf8337149:0x6726eb1d6104038b!8m2!3d52.524102!4d13.332714!16s%2Fg%2F11hds6bxzr!19sChIJSXEz-NpRqEcRiwMEYR3rJmc?authuser=0&hl=en&rclk=1","felmo Mobiler Tierarzt Berlin","4.8","(7,724)","Veterinarian","·","73 Alt-Moabit","Open","· Closes 6 pm","·","0800 0010347","https://www.google.com/aclk?sa=L&ai=DChsSEwip7KXnjNmRAxWnkYMHHaBaF1oYACICCAEQAxoCZWY&co=1&ase=2&gclid=CjwKCAiA3rPKBhBZEiwAhPNFQHTIMV9MPKXjhHmsPr_HVoJcA3LQymBcG0pSAnnmjU9TSH2R-ZXqdRoCqUgQAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_2g1A7hRAK0BTCi9Ikk3F1-Onb5ZA&adurl&q&ctype=99&nis=6","","Website","","Directions","","","","","","","",""
"https://www.google.com/maps/place/Tierarztpraxis+Dr.+K%C3%B6nig/data=!4m7!3m6!1s0x47a850a489180303:0xfc3d420acbf15704!8m2!3d52.478461!4d13.284186!16s%2Fg%2F1td52gj2!19sChIJAwMYiaRQqEcRBFfxywpCPfw?authuser=0&hl=en&rclk=1","Tierarztpraxis Dr. König","4.8","(465)","Veterinarian","·","114A Hohenzollerndamm","Open","· Closes 6 pm","·","030 83223422","https://www.google.com/aclk?sa=L&ai=DChsSEwip7KXnjNmRAxWnkYMHHaBaF1oYACICCAEQARoCZWY&co=1&ase=2&gclid=CjwKCAiA3rPKBhBZEiwAhPNFQJDs-lleUNLFts8PcGTenvwNujyuvPzi-w_QO_V2bZSV6E6G_wFPDBoC6WQQAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_0lWHwCCouP1fSjcJ7e9GU7vSm8CA&adurl&q&ctype=99&nis=6","","Website","","Directions","","","","","","","",""
"https://www.google.com/maps/place/Veterinary+clinic+for+small+animals+and+pets/data=!4m7!3m6!1s0x47a84941fd712d3b:0x565c966c172f20cd!8m2!3d52.5087827!4d13.5557674!16s%2Fg%2F1td57n5r!19sChIJOy1x_UFJqEcRzSAvF2yWXFY?authuser=0&hl=en&rclk=1","Veterinary clinic for small animals and pets","3.9","(1,918)","Animal hospital","·","·","Alt-Biesdorf 22","Open 24 hours","·","030 5143760","https://www.tierklinik-in-biesdorf.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The","vet","was kind, calm and they spoke","English","which was such a relief.""",""
"https://www.google.com/maps/place/Rex+Tierarztpraxis+Berlin-Prenzlauer+Berg/data=!4m7!3m6!1s0x47a84fddfeb06ccf:0xfce256665a5b5802!8m2!3d52.5334687!4d13.4293548!16s%2Fg%2F11vyxr1h3w!19sChIJz2yw_t1PqEcRAlhbWmZW4vw?authuser=0&hl=en&rclk=1","Rex Tierarztpraxis Berlin-Prenzlauer Berg","4.7","(286)","Veterinarian","·","Greifswalder Str. 204","·","Closed","","030 91733620","https://www.rex.app/praxen/berlin-prenzlauer-berg","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They","speak","german and","English","!""","· Opens 9 am Sat"
"https://www.google.com/maps/place/Tiermedizinzentrum+Berlin/data=!4m7!3m6!1s0x47a8506759401557:0x649b4111c0e61131!8m2!3d52.4853661!4d13.3367677!16s%2Fg%2F1thvrqll!19sChIJVxVAWWdQqEcRMRHmwBFBm2Q?authuser=0&hl=en&rclk=1","Tiermedizinzentrum Berlin","3.5","(332)","Veterinarian","·","Kufsteiner Str. 22","·","Open","","030 8542050","http://www.tiermedizinzentrum.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They saved my cats life and did their every best to make her healthy again.""","","","","","· Closes 12 am"
"https://www.google.com/maps/place/Kleintierpraxis+im+Kiez+-+TA+J%C3%B6rg+Saecker/data=!4m7!3m6!1s0x47a8504a492c46a7:0x39b2ed0c13067f81!8m2!3d52.5008191!4d13.3628081!16s%2Fg%2F1tdq9m52!19sChIJp0YsSUpQqEcRgX8GEwztsjk?authuser=0&hl=en&rclk=1","Kleintierpraxis im Kiez - TA Jörg Saecker","4.7","(181)","Veterinarian","·","·","Pohlstraße 69","Open","·","0163 6746922","http://www.kieztierarzt.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Good experience, very friendly,","English speaking","too.""","","","· Closes 6:30 pm"
"https://www.google.com/maps/place/BerlinVets-+Zentrum+f%C3%BCr+Kleintiermedizin+Adam+und+Lehmann+GbR/data=!4m7!3m6!1s0x47a84f2090d3be2d:0xd6fcfbd3041d44c9!8m2!3d52.5121659!4d13.4929049!16s%2Fg%2F11m78wrwhm!19sChIJLb7TkCBPqEcRyUQdBNP7_NY?authuser=0&hl=en&rclk=1","BerlinVets- Zentrum für Kleintiermedizin Adam und Lehmann GbR","4.6","(25)","Animal hospital","·","Frankfurter Allee 213-217","·","Closed","","030 50178500","https://www.berlinvets.de/","","Website","","Directions","","","","","","","",""
"https://www.google.com/maps/place/Tierarztpraxis+Anne+Gamalski+an+den+Allee-Arcaden/data=!4m7!3m6!1s0x47a85206ff0dc5cb:0xb503ec4b3efe4ffa!8m2!3d52.5496446!4d13.4168528!16s%2Fg%2F1ydddkkyn!19sChIJy8UN_wZSqEcR-k_-PkvsA7U?authuser=0&hl=en&rclk=1","Tierarztpraxis Anne Gamalski an den Allee-Arcaden","4.7","(192)","Veterinarian","·","·","Greifenhagener Str. 45","Closed","·","030 30361381","https://www.tierarztpraxis-allee-arcaden.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Highly recommend for","English speakers",".""","","",""
"https://www.google.com/maps/place/Tierarztpraxis+im+Komponistenviertel+Dr.+Anja+Peters/data=!4m7!3m6!1s0x47a84dc4ab935ec1:0x56540a26e28fa340!8m2!3d52.5477076!4d13.4540733!16s%2Fg%2F1pp2vdc6t!19sChIJwV6Tq8RNqEcRQKOP4iYKVFY?authuser=0&hl=en&rclk=1","Tierarztpraxis im Komponistenviertel Dr. Anja Peters","4.8","(300)","Veterinarian","·","·","Bizetstraße 48","Closed","·","030 9273441","https://www.tierarztpraxis-peters-weissensee.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bonus: they","speak English",".""","","","· Opens 9 am Mon"
"https://www.google.com/maps/place/Dr.+med.+vet.+Claudia+Handke/data=!4m7!3m6!1s0x47a851ffe8bf593f:0x91d6e1cf0d7f4c94!8m2!3d52.5407316!4d13.4157091!16s%2Fg%2F1tfw21mc!19sChIJP1m_6P9RqEcRlEx_Dc_h1pE?authuser=0&hl=en&rclk=1","Dr. med. vet. Claudia Handke","4.9","(256)","Veterinarian","·","Danziger Str. 15","·","Closed","","030 4421760","http://www.tierarztpraxis-prenzlauerberg.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nice, cheap, professional and they","speak English","and German""","","","· Opens 10 am Mon"
"https://www.google.com/maps/place/Kleintiermedizin+am+L%C3%BCtzowufer/data=!4m7!3m6!1s0x47a851ad2a53ba37:0x9b8a2da25d7c1a36!8m2!3d52.5062018!4d13.3493321!16s%2Fg%2F11fxvtrx2s!19sChIJN7pTKq1RqEcRNhp8XaItips?authuser=0&hl=en&rclk=1","Kleintiermedizin am Lützowufer","4.8","(321)","Veterinarian","·","·","Lützowufer 26","Open","·","030 26397900","https://www.vet-berlin.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Our cats received the best care and everyone spoke","English","to boot!""","","","· Closes 6 pm"
"https://www.google.com/maps/place/Veterinary+practice+at+the+animal+shelter+Berlin/data=!4m7!3m6!1s0x47a84c86e56d813d:0x49c86052bda5e729!8m2!3d52.5743291!4d13.5467776!16s%2Fg%2F1tdpqpml!19sChIJPYFt5YZMqEcRKeelvVJgyEk?authuser=0&hl=en&rclk=1","Veterinary practice at the animal shelter Berlin","4.7","(970)","Veterinarian","·","·","Hausvaterweg 39","Closed","·","030 93662200","http://www.tierarztpraxis-am-tierheim.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The best doctor we have ever met, the patient is examined very carefully.""","","","","","· Opens 11 am Fri"
"https://www.google.com/maps/place/Veterinary+practice+E.+Laskawy/data=!4m7!3m6!1s0x47a84e61d0077367:0x5bd567a75ef25002!8m2!3d52.5176605!4d13.4663371!16s%2Fg%2F1tffncfm!19sChIJZ3MH0GFOqEcRAlDyXqdn1Vs?authuser=0&hl=en&rclk=1","Veterinary practice E. Laskawy","4.6","(393)","Veterinarian","·","·","Bänschstraße 58","Closed","·","030 4267684","http://www.laskawy-berlin.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They","speak English","and even one of the doctors","speak Spanish","!""",""
"https://www.google.com/maps/place/Veterinary+practice+Friedrichshain+Sabine+Heidel/data=!4m7!3m6!1s0x47a84e695cc6d7f1:0x3283c49cdeb81b59!8m2!3d52.5209184!4d13.4462681!16s%2Fg%2F11c6f0l69_!19sChIJ8dfGXGlOqEcRWRu43pzEgzI?authuser=0&hl=en&rclk=1","Veterinary practice Friedrichshain Sabine Heidel","4.5","(226)","Veterinarian","·","Auerstraße 44","·","Closed","","030 78083485","http://www.tierarztpraxis-friedrichshain.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""... a responsive reception and can communicate very well in","English",".""","","","· Opens 9 am Fri"
"https://www.google.com/maps/place/Tierarztpraxis+Brigitte+Ludwig-Kahya/data=!4m7!3m6!1s0x47a8502b6084b857:0x2bae721d26f5f822!8m2!3d52.5003224!4d13.389816!16s%2Fg%2F1thwzgd_!19sChIJV7iEYCtQqEcRIvj1Jh1yris?authuser=0&hl=en&rclk=1","Tierarztpraxis Brigitte Ludwig-Kahya","4.3","(105)","Animal hospital","·","·","Wilhelmstraße 3","","","030 2513480","http://www.tierarztpraxis-in-kreuzberg.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Really lovely, kind, caring","vet","💗
- speaks","Englis","h
- you can pay by card""",""
"https://www.google.com/maps/place/Tierarztpraxis+Rotgang/data=!4m7!3m6!1s0x47a84f8d95729e73:0x6bb27b6cd086cd71!8m2!3d52.5310183!4d13.4278352!16s%2Fg%2F11qr9m8bs3!19sChIJc55ylY1PqEcRcc2G0Gx7sms?authuser=0&hl=en&rclk=1","Tierarztpraxis Rotgang","5.0","(275)","Veterinarian","·","·","Greifswalder Str: 21","Opens soon","·","030 4254696","https://www.tierarztpraxis-rotgang.de/","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Stuff is bilingual so no problem if you","speak english",".""","","","· 5 pm"
"https://www.google.com/maps/place/Rex+Tierarztpraxis+Berlin-Friedrichshain/data=!4m7!3m6!1s0x47a84f9be0f199a1:0x1bc2f105df77e470!8m2!3d52.5072059!4d13.4575494!16s%2Fg%2F11vhg12w0x!19sChIJoZnx4JtPqEcRcOR33wXxwhs?authuser=0&hl=en&rclk=1","Rex Tierarztpraxis Berlin-Friedrichshain","4.5","(499)","Veterinarian","·","·","Revaler Str. 17","Closed","·","030 91734338","https://www.rex.app/praxen/rex-berlin-friedrichshain","","Website","","Directions","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""... was nice, clearly explained everything and talked perfect","English","!!""","","","· Opens 9 am Sat"
