hfpxzc href,qBF1Pd,UY7F9,W4Efsd,W4Efsd 3,W4Efsd 4,W4Efsd 6,UsdlK,lcr4fd href,ah5Ghc
https://www.google.com/maps/place/Tiergesundheitszentrum+Leipzig-Nord/data=!4m7!3m6!1s0x47a65735bb2c8201:0x4109bdf9bfd24484!8m2!3d51.3824007!4d12.3924931!16s%2Fg%2F11m59pty89!19sChIJAYIsuzVXpkcRhETSv_m9CUE?authuser=0&hl=en&rclk=1,Tiergesundheitszentrum Leipzig-Nord,-80,Veterinarian,·,Zschortauer Str 74,·,0341 35248150,http://tgz-leipzig.de/,On-site services
"https://www.google.com/maps/place/Tierarztpraxis+Reflexus+-+Kraa,+Dr.+Leukert+und+Girgner/data=!4m7!3m6!1s0x47a6f9d23ea00a69:0x8b08a9fd91a1a8b7!8m2!3d51.3197815!4d12.3712778!16s%2Fg%2F1tdfgqh7!19sChIJaQqgPtL5pkcRt6ihkf2pCIs?authuser=0&hl=en&rclk=1","Tierarztpraxis Reflexus - Kraa, Dr. Leukert und Girgner",-339,Veterinarian,·,Kochstraße 42,·,0341 3918270,http://www.reflexus.de/,"""Always perfect service, really friendly and professional doctors."""
"https://www.google.com/maps/place/Tier%C3%A4rztliche+Praxis+f%C3%BCr+Augenheilkunde,+Dr.+von+Krosigk+%26+Dr.+Voigt/data=!4m7!3m6!1s0x47a657fee9c279e9:0xaaf0a6ad4ef96cd0!8m2!3d51.3690939!4d12.3858102!16s%2Fg%2F12llsn36k!19sChIJ6XnC6f5XpkcR0Gz5Tq2m8Ko?authuser=0&hl=en&rclk=1","Tierärztliche Praxis für Augenheilkunde, Dr. von Krosigk & Dr. Voigt",-450,Veterinarian,·,Delitzscher Str. 69,·,0341 91027515,http://www.augentierarzt-leipzig.de/,"""... was explained to me patiently both in German and"
https://www.google.com/maps/place/Tierarztpraxis+am+Rosental/data=!4m7!3m6!1s0x47a6f7e46acf90b3:0x99241820db4d3f12!8m2!3d51.3617919!4d12.3574877!16s%2Fg%2F1tc_d8hk!19sChIJs5DPauT3pkcREj9N2yAYJJk?authuser=0&hl=en&rclk=1,Tierarztpraxis am Rosental,-342,Veterinarian,·,Möckernsche Str. 26,·,0341 5948210,http://www.tierarztpraxis-rosental.de/,"""Total super!"""
https://www.google.com/maps/place/Tier%C3%A4rztliche+Praxis+Dr.+Peter+Schmidt/data=!4m7!3m6!1s0x47a6fff164499acf:0xf76fe76c523f88bb!8m2!3d51.2719593!4d12.4813502!16s%2Fg%2F11fj7cw5xg!19sChIJz5pJZPH_pkcRu4g_Umznb_c?authuser=0&hl=en&rclk=1,Tierärztliche Praxis Dr. Peter Schmidt,-344,Veterinarian,·,Am Schaukelgraben 22,·,034297 169460,http://tierarzt-schmidt.com/,"""Super Service"""
https://www.google.com/maps/place/Tierarztpraxis+am+Kirschberg/data=!4m7!3m6!1s0x47a6f6e8e338941d:0xd0dc984e74e925c7!8m2!3d51.3158911!4d12.2806889!16s%2Fg%2F1tfnxl_q!19sChIJHZQ44-j2pkcRxyXpdE6Y3NA?authuser=0&hl=en&rclk=1,Tierarztpraxis am Kirschberg,-360,Veterinarian,·,Karlsruher Str. 29,·,0341 4205777,http://www.tierarztpraxis-am-kirschberg.de/,"""Super Service"""
https://www.google.com/maps/place/Dipl.Vet.Med.+Henrik+Jassmann/data=!4m7!3m6!1s0x47a6f9bcefcfdc29:0x2d9a73d58a727c1e!8m2!3d51.3039913!4d12.3931086!16s%2Fg%2F1tj7vdjt!19sChIJKdzP77z5pkcRHnxyitVzmi0?authuser=0&hl=en&rclk=1,Dipl.Vet.Med. Henrik Jassmann,-223,Veterinarian,·,Erlkönigweg 11,·,0341 8610126,https://www.tierarzt-jassmann.de/,
https://www.google.com/maps/place/Tierarztpraxis+Dr.+Christine+Fabritius/data=!4m7!3m6!1s0x47a6f785968531ed:0x4ea337bd695f6403!8m2!3d51.3353552!4d12.3562637!16s%2Fg%2F1vl5ft3r!19sChIJ7TGFloX3pkcRA2Rfab03o04?authuser=0&hl=en&rclk=1,Tierarztpraxis Dr. Christine Fabritius,-285,Veterinarian,·,Davidstraße 16,·,0341 22287992,http://www.praxis-fabritius.de/,"""Top-quality treatment and true love for animals every time."""
https://www.google.com/maps/place/Dr.+Mima+Hohmann/data=!4m7!3m6!1s0x47a6f82ca4f74759:0x5d02fa63ca1c14b0!8m2!3d51.325371!4d12.36924!16s%2Fg%2F1wn32pnm!19sChIJWUf3pCz4pkcRsBQcymP6Al0?authuser=0&hl=en&rclk=1,Dr. Mima Hohmann,-135,Veterinarian,·,Mahlmannstraße 15,·,0341 9627333,https://www.tierarztpraxis-dr-hohmann.de/,
https://www.google.com/maps/place/Tierarztpraxis+Dr.+Fricke+-+Leipzig/data=!4m7!3m6!1s0x47a659ef84cc6299:0x36cc39b32ba4f793!8m2!3d51.3756163!4d12.3183271!16s%2Fg%2F11h55nh0pt!19sChIJmWLMhO9ZpkcRk_ekK7M5zDY?authuser=0&hl=en&rclk=1,Tierarztpraxis Dr. Fricke - Leipzig,-120,Veterinarian,·,Ölhafenstraße 7,·,0341 4616264,https://www.tierarzt-auensee.de/,"""Highly recommended, even if you don’t"
"https://www.google.com/maps/place/Tagesklinik+f%C3%BCr+Kleintiere+-+Dr.+Volker+J%C3%A4hnig+und+Tierarzt+Patrick+J%C3%A4hnig,+GbR/data=!4m7!3m6!1s0x47a657c3f732b389:0x7fc23759deca28ca!8m2!3d51.3766482!4d12.4207056!16s%2Fg%2F1vfp2ncx!19sChIJibMy98NXpkcRyijK3lk3wn8?authuser=0&hl=en&rclk=1","Tagesklinik für Kleintiere - Dr. Volker Jähnig und Tierarzt Patrick Jähnig, GbR",-224,Veterinarian,·,Kieler Str. 25,·,0341 60050600,http://www.tierpraxis-leipzig.de/,"""Fantastic"
"https://www.google.com/maps/place/Dr.habil+Beuche+mit+Notdienst+Freit.+Sa.+Sonn,Feiertag+nach+tel.+Anmeldung+bis+21:30/data=!4m7!3m6!1s0x47a6feb2aa2cb533:0xe3a2887cc65424c6!8m2!3d51.2829048!4d12.45986!16s%2Fg%2F1vhlx67_!19sChIJM7UsqrL-pkcRxiRUxnyIouM?authuser=0&hl=en&rclk=1","Dr.habil Beuche mit Notdienst Freit. Sa. Sonn,Feiertag nach tel. Anmeldung bis 21:30",-199,Emergency veterinarian service,·,Muldentalstraße 36,,034297 43031,http://www.tierarztleipzig.de/,
https://www.google.com/maps/place/Kleintierpraxis+Dr.+Fatima+Sterl/data=!4m7!3m6!1s0x47a6583dae2e1acb:0xdca8690087015628!8m2!3d51.3902936!4d12.3711926!16s%2Fg%2F1tp_5dlf!19sChIJyxourj1YpkcRKFYBhwBpqNw?authuser=0&hl=en&rclk=1,Kleintierpraxis Dr. Fatima Sterl,-165,Veterinarian,·,Viaduktweg 4,·,0341 5201717,http://www.tier-dr-sterl.de/,
https://www.google.com/maps/place/Tierarztpraxis+Reudnitz/data=!4m7!3m6!1s0x47a6f90ddc0a7dc7:0xa309464de1210587!8m2!3d51.3304797!4d12.3983104!16s%2Fg%2F11tcbq5cc4!19sChIJx30K3A35pkcRhwUh4U1GCaM?authuser=0&hl=en&rclk=1,Tierarztpraxis Reudnitz,-211,Veterinarian,·,Stiftsstraße 7,·,0341 24960666,http://www.tierarztpraxis-reudnitz.de/,On-site services
https://www.google.com/maps/place/Kleintierpraxis+Weinlein/data=!4m7!3m6!1s0x47a6fa1af1294c29:0x70b2640eb4340d70!8m2!3d51.2872083!4d12.3924262!16s%2Fg%2F11hzxl6dmx!19sChIJKUwp8Rr6pkcRcA00tA5ksnA?authuser=0&hl=en&rclk=1,Kleintierpraxis Weinlein,-145,Veterinarian,·,Bornaische Str. 186,·,0341 27118983,http://kleintierpraxis-sascha-weinlein.de/,
https://www.google.com/maps/place/Dr.med.vet.+R%C3%BCdiger+Neumann/data=!4m7!3m6!1s0x47a6f772af16df33:0xf34c4e0de9c8cecc!8m2!3d51.3292714!4d12.3366533!16s%2Fg%2F1tfsgf5y!19sChIJM98Wr3L3pkcRzM7I6Q1OTPM?authuser=0&hl=en&rclk=1,Dr.med.vet. Rüdiger Neumann,-431,Veterinarian,·,"Zschochersche Str. 48b/Elsterpassage, 1.OG",·,0341 4249010,http://www.tierarzt-am-adler.de/,"""Good friendly reliable specialists"""
https://www.google.com/maps/place/Tierarztpraxis+Dr.+Isabel+G%C3%B6pner%2FDr.+Silke+Schroth/data=!4m7!3m6!1s0x47a6f84fa94103b1:0xac97cdecb5a0b0fc!8m2!3d51.3290964!4d12.4038005!16s%2Fg%2F1ts2z90g!19sChIJsQNBqU_4pkcR_LCgtezNl6w?authuser=0&hl=en&rclk=1,Tierarztpraxis Dr. Isabel Göpner/Dr. Silke Schroth,-149,Veterinarian,·,Kröbelstraße 11,·,0341 2254153,http://www.hund-katze-maus.net/,"""Very friendly and professional"""
https://www.google.com/maps/place/Tierarztpraxis+J%C3%A4hnig/data=!4m7!3m6!1s0x47a6f86e08c276cb:0x2e8a4ed3b2145ff0!8m2!3d51.3509157!4d12.4090541!16s%2Fg%2F11gbtzmh16!19sChIJy3bCCG74pkcR8F8UstNOii4?authuser=0&hl=en&rclk=1,Tierarztpraxis Jähnig,-433,Veterinarian,·,Waldbaurstraße 2b,·,0341 2300800,http://www.tierpraxis-leipzig.de/,"""For the future please take cases like this more seriously!"""
https://www.google.com/maps/place/Veterin%C3%A4r-Physiologisches+Institut/data=!4m7!3m6!1s0x47a6f9b539dffbb9:0xcf13d7fe19b70fda!8m2!3d51.3214287!4d12.3910428!16s%2Fg%2F11dftrm_z6!19sChIJufvfObX5pkcR2g-3Gf7XE88?authuser=0&hl=en&rclk=1,Veterinär-Physiologisches Institut,-1,Veterinary care,An den Tierkliniken 7,·,,0341 9738060,http://physiologie.vetmed.uni-leipzig.de/,
https://www.google.com/maps/place/Mitteldeutsches+Kompetenzzentrum+f.+Kleintiere+%2F+Fachtierarzt+%2F+Tages-Tierklinik/data=!4m7!3m6!1s0x47a6f9819a47120b:0x1e751503031f3485!8m2!3d51.3262103!4d12.4523443!16s%2Fg%2F11vr96zsq3!19sChIJCxJHmoH5pkcRhTQfAwMVdR4?authuser=0&hl=en&rclk=1,Mitteldeutsches Kompetenzzentrum f. Kleintiere / Fachtierarzt / Tages-Tierklinik,-36,Veterinarian,·,Kelbestraße 1,·,0341 69762150,https://mkk-leipzig.de/,On-site services
https://www.google.com/maps/place/Manfred+Seeliger+veterinarian/data=!4m7!3m6!1s0x47a6f9cede42c647:0xde06045bd33aaab8!8m2!3d51.3160911!4d12.3774582!16s%2Fg%2F1vzg183l!19sChIJR8ZC3s75pkcRuKo601sEBt4?authuser=0&hl=en&rclk=1,Manfred Seeliger veterinarian,-136,Veterinarian,·,Kantstraße 47,·,0341 3027400,https://www.tierarztpraxis-suedvorstadt.de/,
https://www.google.com/maps/place/Tierarztpraxis+-+Dr.+med.+vet.+Reinhart+Voigt/data=!4m7!3m6!1s0x47a6f9bcf39325e7:0xd0d1bfc99c27c507!8m2!3d51.3043587!4d12.3927106!16s%2Fg%2F1td9v3zc!19sChIJ5yWT87z5pkcRB8UnnMm_0dA?authuser=0&hl=en&rclk=1,Tierarztpraxis - Dr. med. vet. Reinhart Voigt,-69,Veterinarian,·,Erlkönigweg 8,,0341 8774227,https://tierarztportal.com/leipzig/11981-tierarztpraxis--dr-med-vet-reinhart-voigt,
https://www.google.com/maps/place/Tierarztpraxis+an+der+Elster+-+Elstertier%C3%A4rzte/data=!4m7!3m6!1s0x47a6f7825a3ea303:0xb43b27f3c73ad316!8m2!3d51.3257802!4d12.3408063!16s%2Fg%2F11fn8h5fz3!19sChIJA6M-WoL3pkcRFtM6x_MnO7Q?authuser=0&hl=en&rclk=1,Tierarztpraxis an der Elster - Elstertierärzte,-209,Veterinarian,·,Industriestraße 31,·,0341 49251338,https://www.elstertierarzt.de/,"""Ultimate"
https://www.google.com/maps/place/Dr.+med.+Vet.+Volker+J%C3%A4hnig/data=!4m7!3m6!1s0x47a6f87249cb9047:0x8b5b1a813f26ccab!8m2!3d51.3509157!4d12.4090541!16s%2Fg%2F1tfcb5vz!19sChIJR5DLSXL4pkcRq8wmP4EaW4s?authuser=0&hl=en&rclk=1,Dr. med. Vet. Volker Jähnig,-821,Veterinarian,·,Waldbaurstraße 2b,·,0341 2300800,http://www.tierpraxis-leipzig.de/,
https://www.google.com/maps/place/Universit%C3%A4t+Leipzig+-+Klinik+f%C3%BCr+Pferde+%28Chirurgie%29/data=!4m7!3m6!1s0x47a6f9b4f7b8f7ed:0x84dcf8eb6268a32a!8m2!3d51.3194774!4d12.3930461!16s%2Fg%2F11f4pjh990!19sChIJ7fe497T5pkcRKqNoYuv43IQ?authuser=0&hl=en&rclk=1,Universität Leipzig - Klinik für Pferde (Chirurgie),-43,Veterinary care,·,An den Tierkliniken,·,0341 9738264,http://ctk.vetmed.uni-leipzig.de/,
https://www.google.com/maps/place/Dr.med.vet.+Kristina+Rottmayer/data=!4m7!3m6!1s0x47a65882df5e21c5:0x2c3092fa816c81d6!8m2!3d51.3757648!4d12.3119854!16s%2Fg%2F1tfcgspc!19sChIJxSFe34JYpkcR1oFsgfqSMCw?authuser=0&hl=en&rclk=1,Dr.med.vet. Kristina Rottmayer,-106,Veterinarian,Zehmenstraße 11,·,,0341 4616634,http://www.tierarzt-leipzig.de/,
https://www.google.com/maps/place/Tierarztpraxis+Dr.+J%C3%B6rg+Rottmayer/data=!4m7!3m6!1s0x47a6580889be0b6f:0x9186da8e30002ef2!8m2!3d51.3701766!4d12.3654649!16s%2Fg%2F11b6dq97hl!19sChIJbwu-iQhYpkcR8i4AMI7ahpE?authuser=0&hl=en&rclk=1,Tierarztpraxis Dr. Jörg Rottmayer,-316,Veterinarian,·,Landsberger Str. 32,·,0341 9119444,https://www.tierarzt-leipzig.de/,"""Perfect doctor, also"
https://www.google.com/maps/place/Tierarztpraxis+Yumeico/data=!4m7!3m6!1s0x47a6feaff595c7dd:0xa04c3972b4ae7b40!8m2!3d51.2802568!4d12.4730032!16s%2Fg%2F1q5bmyhjn!19sChIJ3ceV9a_-pkcRQHuutHI5TKA?authuser=0&hl=en&rclk=1,Tierarztpraxis Yumeico,-142,Veterinarian,Großpösnaer Str. 7,·,,034297 464357,http://www.tierarztpraxis-yumeico.de/,
https://www.google.com/maps/place/Tierarzt+Claudia+Ernst/data=!4m7!3m6!1s0x47a6f98f4dc54433:0x32714df92461c3b2!8m2!3d51.2858412!4d12.3871003!16s%2Fg%2F11b6c_sb3h!19sChIJM0TFTY_5pkcRssNhJPlNcTI?authuser=0&hl=en&rclk=1,Tierarzt Claudia Ernst,-104,Veterinarian,·,Helenenstraße 26A,·,0341 3383795,https://www.tierarztpraxisernst.de/,
"https://www.google.com/maps/place/Tierarztpraxis+Gro%C3%9Fzschocher+%28ehem.+TAP+Junghanns%29,+Inh.+Dr.+N.+Grane%C3%9F/data=!4m7!3m6!1s0x47a6f7467f2515f5:0x272f863d693c0dab!8m2!3d51.2993724!4d12.3273853!16s%2Fg%2F1tfdcgzs!19sChIJ9RUlf0b3pkcRqw08aT2GLyc?authuser=0&hl=en&rclk=1","Tierarztpraxis Großzschocher (ehem. TAP Junghanns), Inh. Dr. N. Graneß",-152,Veterinarian,·,Dieskaustraße 224,·,0341 2528679,http://www.tierarztpraxis-grosszschocher.de/,"""Reasonable prices and reasonable advice."""
https://www.google.com/maps/place/Ashley+Walter+Cullis+veterinary+practice/data=!4m7!3m6!1s0x47a6588aa4234d97:0xb071c646317aec1!8m2!3d51.39143!4d12.3316699!16s%2Fg%2F1td_9pzx!19sChIJl00jpIpYpkcRwa4XY2QcBws?authuser=0&hl=en&rclk=1,Ashley Walter Cullis veterinary practice,-193,Veterinarian,·,Am Alten Flugfeld 6,·,0341 4619525,https://www.tierarzt-leipzig-lindenthal.de/,
https://www.google.com/maps/place/Kleintier-+und+Exotenpraxis+Tier%C3%A4rztin+Nadine+Pahl+-+Leipzig/data=!4m7!3m6!1s0x47a6f91834451651:0xb4df7e2f671a0a0f!8m2!3d51.3129606!4d12.4174306!16s%2Fg%2F11ssdr77rv!19sChIJURZFNBj5pkcRDwoaZy9-37Q?authuser=0&hl=en&rclk=1,Kleintier- und Exotenpraxis Tierärztin Nadine Pahl - Leipzig,-100,Veterinarian,·,Gletschersteinstraße 32,·,0341 86397105,http://www.kleintier-exoten-praxis.de/,"""And Dr. Nadine is simply the best in her branch!"""
https://www.google.com/maps/place/Ambulante+Tierarztpraxis+Gabriela+Kinder/data=!4m7!3m6!1s0x47a6f634f9254e13:0xd92c63dafb14a7df!8m2!3d51.3545083!4d12.3128845!16s%2Fg%2F1tyktd9h!19sChIJE04l-TT2pkcR36cU-9pjLNk?authuser=0&hl=en&rclk=1,Ambulante Tierarztpraxis Gabriela Kinder,-72,Veterinarian,Philipp-Reis-Straße 11c,,,0177 6001640,http://www.tierarzt-kinder.de/,
https://www.google.com/maps/place/Tierarztpraxis+im+Planetenviertel/data=!4m7!3m6!1s0x47a6f78ec3285dcd:0x24aebd7bff700800!8m2!3d51.3215772!4d12.2713272!16s%2Fg%2F11whfv118h!19sChIJzV0ow473pkcRAAhw_3u9riQ?authuser=0&hl=en&rclk=1,Tierarztpraxis im Planetenviertel,-65,Veterinarian,·,Jupiterstraße 44,·,0341 24846222,https://www.tierarztpraxis-im-planetenviertel.de/,On-site services
https://www.google.com/maps/place/Tierarztpraxis+Leutzsch/data=!4m7!3m6!1s0x47a6f7b529d7d5b9:0xd45a936baced4105!8m2!3d51.3438726!4d12.3200846!16s%2Fg%2F1tqydj6b!19sChIJudXXKbX3pkcRBUHtrGuTWtQ?authuser=0&hl=en&rclk=1,Tierarztpraxis Leutzsch,-160,Veterinarian,·,Prießnitzstraße 35,·,0341 4414991,https://tierarztpraxis-leutzsch.de/,On-site services
https://www.google.com/maps/place/Mobiler+Tierarztnotdienst+Leipzig/data=!4m7!3m6!1s0x47a6fba2cf06f677:0x92bed52bd31b0ff3!8m2!3d51.2872083!4d12.3924262!16s%2Fg%2F11ht5h83tk!19sChIJd_YGz6L7pkcR8w8b0yvVvpI?authuser=0&hl=en&rclk=1,Mobiler Tierarztnotdienst Leipzig,-39,Emergency veterinarian service,"Kleintierpraxis Weinlein, Bornaische Str. 186",·,,0176 45777675,https://www.kleintierpraxis-sascha-weinlein.de/relaunch-notdienst,
https://www.google.com/maps/place/Augentierarzt/data=!4m7!3m6!1s0x47a657fee995104d:0xecc83dd668ef261f!8m2!3d51.3691315!4d12.3859118!16s%2Fg%2F11qzc88cf3!19sChIJTRCV6f5XpkcRHybvaNY9yOw?authuser=0&hl=en&rclk=1,Augentierarzt,-13,Veterinary care,Delitzscher Str. 69,,,,,
https://www.google.com/maps/place/Tierarztpraxis+Dr.+Fr%C3%A4nze+Hering/data=!4m7!3m6!1s0x47a6f98127a5b681:0x53662d77789db1b8!8m2!3d51.3018112!4d12.3841965!16s%2Fg%2F11kqc8wdq2!19sChIJgbalJ4H5pkcRuLGdeHctZlM?authuser=0&hl=en&rclk=1,Tierarztpraxis Dr. Fränze Hering,-78,Veterinarian,Bornaische Str. 81,·,,0341 3911818,https://www.dr-hering.de/,
https://www.google.com/maps/place/Kleintierpraxis+Leipzig+Sch%C3%B6nefeld/data=!4m7!3m6!1s0x47a6f86de753c5eb:0xebd5c91829aba56d!8m2!3d51.3508362!4d12.4089922!16s%2Fg%2F11ggbtd4qt!19sChIJ68VT5234pkcRbaWrKRjJ1es?authuser=0&hl=en&rclk=1,Kleintierpraxis Leipzig Schönefeld,-42,Veterinary care,·,Waldbaurstraße 2b,·,0341 2300800,http://www.tierpraxis-leipzig.de/,
https://www.google.com/maps/place/Tier%C3%A4rztliche+Praxis+f%C3%BCr+Haus-+und+Heimtiere/data=!4m7!3m6!1s0x47a6580889be0b6f:0x192894dbf7475b27!8m2!3d51.3701766!4d12.3654649!16s%2Fg%2F11f30p94vz!19sChIJbwu-iQhYpkcRJ1tH99uUKBk?authuser=0&hl=en&rclk=1,Tierärztliche Praxis für Haus- und Heimtiere,-6,Veterinarian,Landsberger Str. 32,·,,0341 9119444,http://www.tierarzt-leipzig.de/,
https://www.google.com/maps/place/Klinik+f%C3%BCr+V%C3%B6gel+und+Reptilien+-+Universit%C3%A4t+Leipzig/data=!4m7!3m6!1s0x47a6f9b4fecbe7b5:0x177c64b7fcc3c11b!8m2!3d51.3195184!4d12.3921402!16s%2Fg%2F11gg9br8hy!19sChIJtefL_rT5pkcRG8HD_LdkfBc?authuser=0&hl=en&rclk=1,Klinik für Vögel und Reptilien - Universität Leipzig,-35,Veterinarian,An den Tierkliniken 17,·,,0341 9738405,https://www.vetmed.uni-leipzig.de/klinik-fuer-voegel-und-reptilien,
https://www.google.com/maps/place/Tier%C3%A4rztliche+Tagesklinik+Weinlein/data=!4m7!3m6!1s0x47a6f1de07391a73:0xfbc90b4ea1b4fd7c!8m2!3d51.2834061!4d12.3110443!16s%2Fg%2F11vs01wvz_!19sChIJcxo5B97xpkcRfP20oU4Lyfs?authuser=0&hl=en&rclk=1,Tierärztliche Tagesklinik Weinlein,-6,Veterinarian,Dieskaustraße 330-334,·,,0341 99998033,https://tieraerztliche-tagesklinik-weinlein.de/,
