hfpxzc href,qBF1Pd,W4Efsd,W4Efsd 3,W4Efsd 4,W4Efsd 6,UsdlK,lcr4fd href,ah5Ghc,ah5Ghc 2,ah5Ghc 3,W4Efsd 8
https://www.google.com/maps/place/filu+Tierarztpraxis+Schwabing+-+Allgemein-+und+Notfallmedizin/data=!4m7!3m6!1s0x479e7501c09e3a33:0xfebf02047afa012!8m2!3d48.1642872!4d11.5640235!16s%2Fg%2F11vrdl2wsm!19sChIJMzqewAF1nkcREqCvRyDw6w8?authuser=0&hl=en&rclk=1,filu Tierarztpraxis Schwabing - Allgemein- und Notfallmedizin,Veterinarian,Schleißheimer Str. 141 80797 München,,,089 38038398,https://www.filu.vet/standorte/schwabing?utm_source=google&utm_medium=gmb,"""They all",speak English,"and are very welcoming.""",·
https://www.google.com/maps/place/Tier%C3%A4rztliches+Augenzentrum+M%C3%BCnchen+%E2%80%93+Dr.+Jens+Fritsche+%26+Kollegen/data=!4m7!3m6!1s0x479dd91e12bd3bb7:0xb3f7b87093d99bd0!8m2!3d48.1004575!4d11.5009318!16s%2Fg%2F1vg6sqph!19sChIJtzu9Eh7ZnUcR0JvZk3C497M?authuser=0&hl=en&rclk=1,Tierärztliches Augenzentrum München – Dr. Jens Fritsche & Kollegen,Veterinarian,·,Kreuzhofstraße 10 81373 München,·,089 159094400,http://www.tier-augenarzt.de/,"""We had a great experience here and were able to get an appointment quickly.""",,,
https://www.google.com/maps/place/Mobile+Tierarztpraxis+Isabel+Vinh/data=!4m7!3m6!1s0x479e7475d92b6e97:0x330b86af85e0de8d!8m2!3d48.2088045!4d11.6108432!16s%2Fg%2F1q62bc_4n!19sChIJl24r2XV0nkcRjd7gha-GCzM?authuser=0&hl=en&rclk=1,Mobile Tierarztpraxis Isabel Vinh,Veterinarian,Admiralbogen 11 80939 München,,,0177 6322789,http://www.nis-behandlung-fuer-tiere.de/,"""I couldn’t have asked for a better doctor for my fur babies.""",,,
https://www.google.com/maps/place/Tierklinik+Oberhaching/data=!4m7!3m6!1s0x479dddbfa2c7f4dd:0xc8a522eefbe448da!8m2!3d48.0320052!4d11.5825403!16s%2Fg%2F1td_44qs!19sChIJ3fTHor_dnUcR2kjk--4ipcg?authuser=0&hl=en&rclk=1,Tierklinik Oberhaching,Veterinarian,·,Bajuwarenring 10 82041 Oberhaching,·,089 63893020,http://www.tierklinik-oberhaching.de/,"""The fact that everybody there was able to",speak English,"was a nice bonus.""",
https://www.google.com/maps/place/Tierarztpraxis+M%C3%BCnchen+Laim+Dr.+med.+vet.+Ursula+Link/data=!4m7!3m6!1s0x479dd8782e570921:0x652cf5fabd7d3578!8m2!3d48.1417635!4d11.4852651!16s%2Fg%2F1td4j2z2!19sChIJIQlXLnjYnUcReDV9vfr1LGU?authuser=0&hl=en&rclk=1,Tierarztpraxis München Laim Dr. med. vet. Ursula Link,Veterinarian,·,Agnes-Bernauer-Straße 178 80687 München,·,089 58929090,http://www.tierarzt-laim.de/,"""Very nice",clinic,and very friendly staff and,
https://www.google.com/maps/place/Veterinary+practice+Dr.med.vet.+Steffen+Hoffmann/data=!4m7!3m6!1s0x479e74605fc1b399:0x7be0fc61cfe750cb!8m2!3d48.1918328!4d11.6206822!16s%2Fg%2F1th7lw_x!19sChIJmbPBX2B0nkcRy1Dnz2H84Hs?authuser=0&hl=en&rclk=1,Veterinary practice Dr.med.vet. Steffen Hoffmann,Veterinarian,·,Floriansmühlstraße 19 80939 München,·,089 32211460,http://www.tierarzt-dr-hoffmann.de/,"""recommended.""",,,
https://www.google.com/maps/place/Veterinary+practice+in+Franziskanerhof+Dr.+Christina+Sacher/data=!4m7!3m6!1s0x479ddf7912c42979:0xe2bf57205bf7ef2f!8m2!3d48.126526!4d11.59104!16s%2Fg%2F11cffwr1v!19sChIJeSnEEnnfnUcRL-_3WyBXv-I?authuser=0&hl=en&rclk=1,Veterinary practice in Franziskanerhof Dr. Christina Sacher,Veterinarian,·,Franziskanerstraße 16 81669 München,·,089 69334083,http://www.tierarztpraxis-im-franziskanerhof.de/,"""I would highly recommend this",vet,"👌 👍""",
https://www.google.com/maps/place/felmo+Mobiler+Tierarzt+M%C3%BCnchen/data=!4m7!3m6!1s0x479e0ba12bc5db59:0x59666aa80228880f!8m2!3d48.134753!4d11.658236!16s%2Fg%2F11qnbrsvqd!19sChIJWdvFK6ELnkcRD4goAqhqZlk?authuser=0&hl=en&rclk=1,felmo Mobiler Tierarzt München,Veterinarian,13 Am Moosfeld 81829 München,Closed,·,0800 0010347,https://www.google.com/aclk?sa=L&ai=DChsSEwjXhaiXx9yRAxWDr4MHHYrJAbsYACICCAEQARoCZWY&co=1&ase=2&gclid=Cj0KCQiAgbnKBhDgARIsAGCDdlddh8lmrjsS11-rM1qPWPt1-FzrWK5GrySXG4RiQKX7BJ309fZQ70UaAlOpEALw_wcB&cce=2&category=acrcp_v1_32&sig=AOD64_17Q0BQCPUqBgAzqELBRhNyaRlTTA&adurl&q&ctype=99&nis=6,,,,
https://www.google.com/maps/place/Tierarztpraxis+Tiergesundheitszentrum+M%C3%BCnchen/data=!4m7!3m6!1s0x479ddf114d696a7d:0x90d1520b043cdae4!8m2!3d48.109422!4d11.570112!16s%2Fg%2F12q4scd5g!19sChIJfWppTRHfnUcR5No8BAtS0ZA?authuser=0&hl=en&rclk=1,Tierarztpraxis Tiergesundheitszentrum München,Veterinarian,15 Birkenleiten 81543 München,,,089 68008383,https://www.google.com/aclk?sa=L&ai=DChsSEwjXhaiXx9yRAxWDr4MHHYrJAbsYACICCAEQAxoCZWY&co=1&ase=2&gclid=Cj0KCQiAgbnKBhDgARIsAGCDdlf1xuruPU1QqDO6lpg52pEY3I_N8tUtYYiLWxO2XpZPHIH8H3KpQykaAjVGEALw_wcB&cce=2&category=acrcp_v1_32&sig=AOD64_287CIncD8DPi0xN22ETL87CSBlSw&adurl&q&ctype=99&nis=6,,,,
https://www.google.com/maps/place/Dr.+med.+vet.+Monika+Koller/data=!4m7!3m6!1s0x479e756e251faa3b:0x728363c8345c6705!8m2!3d48.1435974!4d11.6179399!16s%2Fg%2F1thbvnck!19sChIJO6ofJW51nkcRBWdcNMhjg3I?authuser=0&hl=en&rclk=1,Dr. med. vet. Monika Koller,Veterinarian,·,Buschingstraße 4 81677 München,·,089 91077728,http://www.tierarzt-bogenhausen.de/,"""",English spoken,".""",
https://www.google.com/maps/place/Tierarztpraxis+Bogenhausen+Isabelle+Heiss/data=!4m7!3m6!1s0x479e75412bee87b7:0x7d89d2882cfdc5d1!8m2!3d48.1457307!4d11.6402498!16s%2Fg%2F1trxj80n!19sChIJt4fuK0F1nkcR0cX9LIjSiX0?authuser=0&hl=en&rclk=1,Tierarztpraxis Bogenhausen Isabelle Heiss,Veterinarian,·,Friedrich-Eckart-Straße 56 - 58 81929 München,·,089 95006877,http://www.tierarztpraxis-bogenhausen.de/,"""It made a huge difference for our anxious doggo :).""",,,
https://www.google.com/maps/place/Dr.+Andrea+Hollmann/data=!4m7!3m6!1s0x479e75de512f1325:0x5000b0c2f61b4581!8m2!3d48.158373!4d11.5613183!16s%2Fg%2F1vk6y682!19sChIJJRMvUd51nkcRgUUb9sKwAFA?authuser=0&hl=en&rclk=1,Dr. Andrea Hollmann,Veterinarian,·,Agnesstraße 61 80797 München,·,089 1234663,https://www.tierarztpraxis-hollmann.de/,"""Dr. Andrea Hollmann is very competent and friendly.""",,,
"https://www.google.com/maps/place/Tierarzt+M%C3%BCnchen,+Dr.+med.+vet.+Klaus+Sommer/data=!4m7!3m6!1s0x479dd85a05738c23:0x35476834f7433155!8m2!3d48.1147867!4d11.479284!16s%2Fg%2F1wnbw_bt!19sChIJI4xzBVrYnUcRVTFD9zRoRzU?authuser=0&hl=en&rclk=1","Tierarzt München, Dr. med. vet. Klaus Sommer",Veterinarian,·,Heiglhofstraße 1a 81377 München,·,089 71049070,http://www.tierarzt-sommer.de/,"""I definitely recommend!""",,,
https://www.google.com/maps/place/Dr.+Anna+Draschka/data=!4m7!3m6!1s0x479dd8f31b3e0e8b:0x4a8f1794d1fbe2ef!8m2!3d48.1167427!4d11.5027985!16s%2Fg%2F1tdp8m06!19sChIJiw4-G_PYnUcR7-L70ZQXj0o?authuser=0&hl=en&rclk=1,Dr. Anna Draschka,Veterinarian,·,Fürstenrieder Str. 217 81476 München,·,089 72402492,https://tierarzt-hadern.de/,"""The service is great!!""",,,
https://www.google.com/maps/place/Dr.+med.vet.+Annabelle+Culas/data=!4m7!3m6!1s0x479ddf0403a30ad7:0xa9266d5dee8ab45b!8m2!3d48.0995656!4d11.5789365!16s%2Fg%2F1vhq2plm!19sChIJ1wqjAwTfnUcRW7SK7l1tJqk?authuser=0&hl=en&rclk=1,Dr. med.vet. Annabelle Culas,Veterinarian,·,Immergrünstraße 14 81547 München,·,089 69989404,https://www.tierarztpraxis-culas.de/,"""They have been incrediblly helpful and supportive towards us.""",,,
https://www.google.com/maps/place/Tierarztpraxis+Moosach+Dr.+Bader-Mechler/data=!4m7!3m6!1s0x479e76f98358b46b:0xe867e7eab9242d48!8m2!3d48.1878952!4d11.5262078!16s%2Fg%2F1tg85n7_!19sChIJa7RYg_l2nkcRSC0kuernZ-g?authuser=0&hl=en&rclk=1,Tierarztpraxis Moosach Dr. Bader-Mechler,Veterinarian,Triebstraße 3/1. OG rechts 80993 München,,,089 1414346,http://www.tierarzt-muenchen-moosach.de/,"""They are taking good care of our cat and they",speak English,perfect,·
https://www.google.com/maps/place/Siegfried+Graf/data=!4m7!3m6!1s0x479e7529d22d8563:0x2814ff2d618d0ac2!8m2!3d48.1661888!4d11.6565632!16s%2Fg%2F1tj7vcgx!19sChIJY4Ut0il1nkcRwgqNYS3_FCg?authuser=0&hl=en&rclk=1,Siegfried Graf,Veterinarian,·,Kardinal-Wendel-Straße 13 81679 München,·,089 99236916,http://www.tierarztpraxis-dr-graf.com/,"""Finally found solution to Max's problem.""",,,
https://www.google.com/maps/place/Dr.+med.+vet.+Peter+Baumann/data=!4m7!3m6!1s0x479dd8f7f2f9c721:0x7b21607caa290241!8m2!3d48.1138988!4d11.4878551!16s%2Fg%2F1tr16k7d!19sChIJIcf58vfYnUcRQQIpqnxgIXs?authuser=0&hl=en&rclk=1,Dr. med. vet. Peter Baumann,Veterinarian,·,Würmtalstraße 64 A 81375 München,·,089 7144073,http://www.kleintierpraxis-muenchen.de/,"""Excellent professional",vet,".""",
https://www.google.com/maps/place/Tierarztpraxis+Michaela+Gu%C3%9Fmann/data=!4m7!3m6!1s0x479e76c1d8e4e3f9:0x63c8bf66c9b6e70a!8m2!3d48.1985215!4d11.5430341!16s%2Fg%2F1tcxytky!19sChIJ-ePk2MF2nkcRCue2yWa_yGM?authuser=0&hl=en&rclk=1,Tierarztpraxis Michaela Gußmann,Veterinarian,·,Berberitzenstraße 54 80935 München,·,089 3517475,http://tierarzt-gussmann.de/index.html,,,,
https://www.google.com/maps/place/Tier%C3%A4rztliche+Gemeinschaftspraxis+Dr.+F.+Fiederling+und+Dr.+T.+Ludwig/data=!4m7!3m6!1s0x479dd927cc8cd0c9:0x6126b3cecd0cb1a5!8m2!3d48.1445199!4d11.4605096!16s%2Fg%2F11j7z4j1dt!19sChIJydCMzCfZnUcRpbEMzc6zJmE?authuser=0&hl=en&rclk=1,Tierärztliche Gemeinschaftspraxis Dr. F. Fiederling und Dr. T. Ludwig,Veterinarian,·,Josef-Retzer-Straße 44 81241 München,·,089 82088787,https://www.pasinger-tierarztpraxis.de/,"""Every treatment was fair, transparent, and efficient.""",,,
https://www.google.com/maps/place/Tierarztpraxis+Dr.+Heubeck/data=!4m7!3m6!1s0x479ddfa6f94c26e5:0xa784b0f5035e016!8m2!3d48.1008017!4d11.5886823!16s%2Fg%2F1hc19304r!19sChIJ5SZM-abfnUcRFuA1UA9LeAo?authuser=0&hl=en&rclk=1,Tierarztpraxis Dr. Heubeck,Veterinarian,·,Traunsteiner Str. 34 81549 München,·,089 6906600,http://www.tierarztpraxis-heubeck.de/,"""it is possible to communicate in",English,if you don't,
https://www.google.com/maps/place/Neuwirt+Elvira+Dr.+med.+vet./data=!4m7!3m6!1s0x479e7433fd4db1e5:0x49ad1080417a9ba0!8m2!3d48.1789886!4d11.5847836!16s%2Fg%2F1vxw77q0!19sChIJ5bFN_TN0nkcRoJt6QYAQrUk?authuser=0&hl=en&rclk=1,Neuwirt Elvira Dr. med. vet.,Veterinarian,Leopoldstraße 219 80807 München,Closed,·,089 3597998,,"""Recommended!""",,,
https://www.google.com/maps/place/Dr.+med.+vet.+Eva+Katzenberger/data=!4m7!3m6!1s0x479ddf72f09e8301:0x2af0d45cabb91df9!8m2!3d48.116!4d11.581861!16s%2Fg%2F1tgc8hvf!19sChIJAYOe8HLfnUcR-R25q1zU8Co?authuser=0&hl=en&rclk=1,Dr. med. vet. Eva Katzenberger,Veterinarian,·,St.-Martin-Straße 10 81541 München,,089 6917043,https://tierarztportal.com/muenchen/2631-tierarztpraxis-%7C-dr-med-vet-eva-katzenberger-%7C-muenchen,"""Reasonable rates.""",,,
https://www.google.com/maps/place/Kleintierpraxis+%7C+Dr.+Jutta+Herrle+%7C+M%C3%BCnchen/data=!4m7!3m6!1s0x479e778c6ea8d8af:0xde3385dac060326e!8m2!3d48.188543!4d11.473456!16s%2Fg%2F1tdxzwvc!19sChIJr9iobox3nkcRbjJgwNqFM94?authuser=0&hl=en&rclk=1,Kleintierpraxis | Dr. Jutta Herrle | München,Veterinarian,·,Hertwigstraße 7 80999 München,·,089 8144800,https://tierarzt-allach.de/,"""Everyone is the",clinic,are nice and,
https://www.google.com/maps/place/Tier%C3%A4rzte+W%C3%BCrmtal/data=!4m7!3m6!1s0x479dd9a5189bbb55:0x31c795e805210991!8m2!3d48.0933125!4d11.4664324!16s%2Fg%2F1tdvckr9!19sChIJVbubGKXZnUcRkQkhBeiVxzE?authuser=0&hl=en&rclk=1,Tierärzte Würmtal,Veterinarian,Münchner Str. 2a 82152 Planegg,,,089 7459925,https://www.tieraerzte-wuermtal.de/,"""Can",speak English,in,·
https://www.google.com/maps/place/Tierarztpraxis+Dr.+Dr.+Weeger/data=!4m7!3m6!1s0x479e75f5088db94f:0xed8e3ba05405d6e6!8m2!3d48.1554087!4d11.6371447!16s%2Fg%2F11jsm5slq4!19sChIJT7mNCPV1nkcR5tYFVKA7ju0?authuser=0&hl=en&rclk=1,Tierarztpraxis Dr. Dr. Weeger,Veterinarian,Wilhelm-Dieß-Weg 2 81673 München,,,089 931213,https://www.tierarztpraxis-dr-dr-weeger.de/,"""And so friendly to our cats as well... thank you so much!!""",,,·
https://www.google.com/maps/place/Veterin%C3%A4ramt+I+Kreisverwaltungsreferat+%28KVR%29/data=!4m7!3m6!1s0x479ddf4451300001:0x2c327b7346db6b5b!8m2!3d48.1233482!4d11.5599321!16s%2Fg%2F11f3_x6sjf!19sChIJAQAwUUTfnUcRW2vbRnN7Miw?authuser=0&hl=en&rclk=1,Veterinäramt I Kreisverwaltungsreferat (KVR),Corporate office,Thalkirchner Str. 106 80337 München,,,089 23339613,http://www.muenchen.de/dienstleistungsfinder/muenchen/1080981,"""They know exactly what to do and are extremely professional.""",,,·
https://www.google.com/maps/place/M%C3%BCnch+Michael/data=!4m7!3m6!1s0x479dd78f4112f015:0x3265f1e31b33f2e1!8m2!3d48.1303168!4d11.4317103!16s%2Fg%2F1xn_mcmx!19sChIJFfASQY_XnUcR4fIzG-PxZTI?authuser=0&hl=en&rclk=1,Münch Michael,Veterinarian,·,Closed,"Links neben Lotto - Laden, Aubinger Str. 2a 81243 München",089 89866600,,"""Very nice and kind",veterinarian,"!""",
https://www.google.com/maps/place/KLEINTIERPRAXIS+M%C3%9CNCH/data=!4m7!3m6!1s0x479dd78f4112f015:0xbcc2dd6d15d4a04b!8m2!3d48.130254!4d11.4317327!16s%2Fg%2F1hc1ww90y!19sChIJFfASQY_XnUcRS6DUFW3dwrw?authuser=0&hl=en&rclk=1,KLEINTIERPRAXIS MÜNCH,Veterinarian,·,Closed,"Aubinger Str, neben Lottoladen 2a 81243 München",089 89866600,,On-site services,,,
https://www.google.com/maps/place/Naturheilpraxis+f%C3%BCr+Tiere+am+Gasteig+Kimberly+Ann+Grobholz+Tierheilpraktiker/data=!4m7!3m6!1s0x479e7589b2648421:0xbd5501620ff56fd0!8m2!3d48.132767!4d11.591688!16s%2Fg%2F1tdyvbph!19sChIJIYRksol1nkcR0G_1D2IBVb0?authuser=0&hl=en&rclk=1,Naturheilpraxis für Tiere am Gasteig Kimberly Ann Grobholz Tierheilpraktiker,Animal hospital,Innere Wiener Straße 6 81667 München,,,089 44439510,,,,,
https://www.google.com/maps/place/Dr.+med.+vet.+Daniela+Festl/data=!4m7!3m6!1s0x479de02a8127bb01:0x324e52159e14d69c!8m2!3d48.122!4d11.69768!16s%2Fg%2F1tj7vcc9!19sChIJAbsngSrgnUcRnNYUnhVSTjI?authuser=0&hl=en&rclk=1,Dr. med. vet. Daniela Festl,Veterinarian,Dittmannstraße 28 85540 Haar,,,089 43739910,https://tierarztportal.com/haar/3438-tierarztpraxis-%7C-dr-med-vet-eva-katzenberger-%7C-muenchen,"""Recommended...""",,,·
