hfpxzc href,qBF1Pd,W4Efsd,W4Efsd 3,W4Efsd 4,UsdlK,lcr4fd href,ah5Ghc,ah5Ghc 2,ah5Ghc 3
https://www.google.com/maps/place/felmo+Mobiler+Tierarzt+N%C3%BCrnberg/data=!4m7!3m6!1s0x479f5933d8c55003:0xbd9245cae683e295!8m2!3d49.4162464!4d11.1650946!16s%2Fg%2F11rn0qmxvk!19sChIJA1DF2DNZn0cRleKD5spFkr0?authuser=0&hl=en&rclk=1,felmo Mobiler Tierarzt Nürnberg,Veterinarian,Sprottauer Str. 23-25,·,0911 96643133,https://felmo.de/tierarzt/nuernberg/?utm_medium=referral&utm_source=google_my_business&utm_term=nuernberg,"""I would like an option for",English speakers,"(for next time)"""
"https://www.google.com/maps/place/Tierarztpraxis+Eibach,+Dr.+Holger+Pickenhahn+und+Ute+Karl/data=!4m7!3m6!1s0x479f51ac77d20b77:0xe13a5fd7b4d4ee36!8m2!3d49.3954734!4d11.0388956!16s%2Fg%2F11fn9fbwzg!19sChIJdwvSd6xRn0cRNu7UtNdfOuE?authuser=0&hl=en&rclk=1","Tierarztpraxis Eibach, Dr. Holger Pickenhahn und Ute Karl",Veterinarian,·,Eibacher Hauptstraße 141a,0911 63293810,http://www.tierarztpraxis-eibach.de/,"""I had no appointment and they still helped me.""",,
https://www.google.com/maps/place/Tierarzt+Jacek+Krol/data=!4m7!3m6!1s0x479f5778fd12534f:0x8b24ce9648f2f6d5!8m2!3d49.4402847!4d11.1036701!16s%2Fg%2F1tr7btcw!19sChIJT1MS_XhXn0cR1fbySJbOJIs?authuser=0&hl=en&rclk=1,Tierarzt Jacek Krol,Veterinarian,·,Closed,0911 493600,,"""Extremely competent and has reasonable prices.""",,
https://www.google.com/maps/place/Tier%C3%A4rztliche+Praxis+Elena+Waldhier/data=!4m7!3m6!1s0x47a1fd591fa61eb7:0xe652cfc5c9aff4a9!8m2!3d49.4866958!4d11.1126493!16s%2Fg%2F11c30_mvvf!19sChIJtx6mH1n9oUcRqfSvycXPUuY?authuser=0&hl=en&rclk=1,Tierärztliche Praxis Elena Waldhier,Veterinarian,·,Hiltpoltsteiner Str. 59,0911 522416,http://www.tierarzt-ziegelstein.de/,"""Very friendly and helpful.""",,
https://www.google.com/maps/place/TierStadt+GmbH/data=!4m7!3m6!1s0x479f57efcbe88c45:0xf8e26edfadf33dbd!8m2!3d49.4060684!4d11.0864262!16s%2Fg%2F11js5w5dv4!19sChIJRYzoy-9Xn0cRvT3zrd9u4vg?authuser=0&hl=en&rclk=1,TierStadt GmbH,Veterinarian,·,Valentin-Dretzel-Straße 13,0911 38423601,https://tierstadt.de/,On-site services,,
https://www.google.com/maps/place/Specialist+veterinary+practice+Janka+Dietz/data=!4m7!3m6!1s0x479f581dd73a79e9:0x5f08210b9d5aed0b!8m2!3d49.4674888!4d11.1262131!16s%2Fg%2F11dxf14y56!19sChIJ6Xk61x1Yn0cRC-1anQshCF8?authuser=0&hl=en&rclk=1,Specialist veterinary practice Janka Dietz,Veterinarian,·,Erlenstegenstraße 7,0911 59751116,http://www.dietz.vet/,"""I can tell they love animals!""",,
https://www.google.com/maps/place/Dr.+med.+Vet.+Ursula+Leyer/data=!4m7!3m6!1s0x479f582281078d17:0x646ffb75af144578!8m2!3d49.4615859!4d11.1316614!16s%2Fg%2F1tdj364n!19sChIJF40HgSJYn0cReEUUr3X7b2Q?authuser=0&hl=en&rclk=1,Dr. med. Vet. Ursula Leyer,Veterinarian,·,Laufamholzstraße 1,0911 547131,http://www.tierarztpraxismoegeldorf.de/,"""Interesting exhibits.""",,
https://www.google.com/maps/place/Bollwein+Alois+Veterinarian/data=!4m7!3m6!1s0x479f596f53e31b69:0xb75b36b3e34a1b7d!8m2!3d49.4064357!4d11.1733156!16s%2Fg%2F1td41h96!19sChIJaRvjU29Zn0cRfRtK47M2W7c?authuser=0&hl=en&rclk=1,Bollwein Alois Veterinarian,Veterinarian,Von-Soden-Straße 20,·,0911 835844,http://www.tierarzt-bollwein.de/,,,
https://www.google.com/maps/place/Rudolf+Marczinke/data=!4m7!3m6!1s0x479f50f09c212c97:0x6aba2af3c7737fdb!8m2!3d49.3736959!4d11.0459938!16s%2Fg%2F1td4j391!19sChIJlywhnPBQn0cR239zx_Mqumo?authuser=0&hl=en&rclk=1,Rudolf Marczinke,Veterinarian,Vogtsbergstraße 44,Closed,0911 6324860,,"""Best",vet,"in the regio."""
https://www.google.com/maps/place/Tierarzt+Praxis+Probst/data=!4m7!3m6!1s0x479f598a14d99923:0x244a8c0c7ee41e08!8m2!3d49.411773!4d11.140568!16s%2Fg%2F11h61m22rr!19sChIJI5nZFIpZn0cRCB7kfgyMSiQ?authuser=0&hl=en&rclk=1,Tierarzt Praxis Probst,Veterinarian,Lübener Str. 6,·,0911 9880428,http://www.tierarzt-probst.de/,,,
